model,checkpoint,textfrct_I1
allenai/OLMo-2-0425-1B,main,13.151822916666667
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,9.269661458333333
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,10.885677083333333
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,10.42578125
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,10.328385416666666
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,11.022916666666667
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,11.137239583333333
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,9.560026041666667
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,10.51640625
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,10.996354166666666
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,11.09375
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,6.085286458333333
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,11.495052083333333
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,10.587760416666667
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,10.392447916666667
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,10.247395833333334
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,10.08125
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,9.702864583333334
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,9.1046875
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,9.521614583333333
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,11.344270833333333
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,10.43828125
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,10.427604166666667
