model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_gerund_first,correct_gerund_first,total_gerund_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional:gerund_first,True,,False,0.0,0,10,0.0,0,10,7.444140625,2505.3364247850764,0.0007885963752168459,0.0007885963752168459
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional:gerund_first,True,,False,0.3,3,10,0.3,3,10,9.55390625,23102.671228268962,0.00013712819304831657,0.00013712819304831657
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional:gerund_first,True,,False,0.7,7,10,0.7,7,10,8.88125,12554.515901037925,0.00023211143251500714,0.00023211143251500714
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional:gerund_first,True,,False,0.9,9,10,0.9,9,10,7.573828125,5829.783393848187,0.0012014436454690636,0.0012014436454690636
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional:gerund_first,True,,False,0.7,7,10,0.7,7,10,7.657421875,2921.3243314471742,0.0008155888086826104,0.0008155888086826104
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional:gerund_first,True,,False,0.8,8,10,0.8,8,10,8.227734375,5985.671586673135,0.0003494939728128449,0.0003494939728128449
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional:gerund_first,True,,False,0.7,7,10,0.7,7,10,8.448046875,7292.831413253021,0.0003069480723452273,0.0003069480723452273
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional:gerund_first,True,,False,0.8,8,10,0.8,8,10,8.161328125,4054.183712520034,0.00033592321145887473,0.00033592321145887473
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional:gerund_first,True,,False,0.9,9,10,0.9,9,10,8.725390625,7805.048091247166,0.0002163436397582835,0.0002163436397582835
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional:gerund_first,True,,False,0.9,9,10,0.9,9,10,7.7734375,3030.4810998989224,0.0006145564976176538,0.0006145564976176538
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional:gerund_first,True,,False,0.6,6,10,0.6,6,10,8.936328125,15262.29528345432,0.0002175275874428186,0.0002175275874428186
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional:gerund_first,True,,False,1.0,10,10,1.0,10,10,8.630078125,7156.870089370408,0.0002305689294146652,0.0002305689294146652
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional:gerund_first,True,,False,0.9,9,10,0.9,9,10,8.066796875,3886.2761945394363,0.0003928436074115699,0.0003928436074115699
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional:gerund_first,True,,False,0.9,9,10,0.9,9,10,8.687109375,11993.423432935071,0.0002615693517301631,0.0002615693517301631
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional:gerund_first,True,,False,0.9,9,10,0.9,9,10,8.0828125,5693.434724573753,0.0004973829551669927,0.0004973829551669927
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional:gerund_first,True,,False,1.0,10,10,1.0,10,10,8.159375,5690.389924336131,0.0005850092419772358,0.0005850092419772358
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional:gerund_first,True,,False,0.9,9,10,0.9,9,10,7.88359375,7642.635494372905,0.0009352877210935988,0.0009352877210935988
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional:gerund_first,True,,False,0.9,9,10,0.9,9,10,7.370703125,3139.635002816879,0.0012277078241273826,0.0012277078241273826
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional:gerund_first,True,,False,0.9,9,10,0.9,9,10,8.331640625,9079.581601452972,0.0004181854024621574,0.0004181854024621574
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional:gerund_first,True,,False,1.0,10,10,1.0,10,10,7.592578125,4396.717708771912,0.0009885016241814011,0.0009885016241814011
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional:gerund_first,True,,False,0.9,9,10,0.9,9,10,8.0875,9104.464825171672,0.0005214466615354977,0.0005214466615354977
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional:gerund_first,True,,False,1.0,10,10,1.0,10,10,8.261328125,12759.02671324046,0.0005762088776375518,0.0005762088776375518
allenai/OLMo-2-0425-1B,main,compositional:gerund_first,True,,False,1.0,10,10,1.0,10,10,8.6796875,6490.4721369434765,0.00018154500224513054,0.00018154500224513054
