model,checkpoint,compositional:upper_first
allenai/OLMo-2-0425-1B,main,7.546657986111111
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,9.489149305555555
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,7.076388888888889
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,7.132486979166667
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,7.180121527777778
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,7.337999131944445
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,7.5166015625
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,8.234049479166666
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,6.9990234375
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,7.5107421875
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,6.554796006944445
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,7.986328125
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,7.244140625
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,7.291883680555555
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,6.767469618055555
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,8.21560329861111
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,7.217664930555555
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,7.906032986111111
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,7.533311631944445
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,7.906032986111111
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,7.872504340277778
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,8.53982204861111
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,7.438368055555555
