model,checkpoint,compositional_lower_reverse_last
allenai/OLMo-2-0425-1B,main,8.500600961538462
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,9.063251201923077
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,8.231069711538462
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,8.422926682692308
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,8.289663461538462
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,9.022986778846153
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,9.059945913461538
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,8.182241586538462
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,8.525991586538462
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,8.691256009615385
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,7.867638221153846
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,7.667367788461538
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,7.6141826923076925
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,8.47626201923077
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,7.431640625
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,8.42217548076923
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,7.716796875
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,8.985877403846153
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,8.27734375
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,8.04717548076923
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,8.084134615384615
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,8.99444110576923
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,8.253756009615385
