model,checkpoint,part_of_speech
allenai/OLMo-2-0425-1B,main,6.183984375
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,4.9890625
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,3.8731119791666666
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,5.948828125
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,6.357682291666666
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,5.543619791666667
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,5.516536458333333
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,3.7057291666666665
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,4.562369791666667
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,4.879817708333333
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,5.090625
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,10.61875
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,4.5015625
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,5.46171875
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,5.745963541666667
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,4.951953125
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,5.51640625
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,6.426171875
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,5.178385416666667
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,5.330078125
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,5.635807291666667
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,4.018359375
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,5.3583984375
