model,checkpoint,compositional:lower_last
allenai/OLMo-2-0425-1B,main,9.819010416666666
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,10.592230902777779
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,10.221354166666666
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,10.279947916666666
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,9.807942708333334
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,10.665364583333334
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,10.383680555555555
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,10.333984375
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,10.300238715277779
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,10.021809895833334
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,9.49099392361111
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,7.707790798611111
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,10.904730902777779
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,10.666449652777779
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,10.747395833333334
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,10.223741319444445
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,10.31076388888889
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,10.985785590277779
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,10.754340277777779
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,11.02126736111111
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,10.583875868055555
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,11.40017361111111
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,9.84060329861111
