model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_gerund_last,correct_gerund_last,total_gerund_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional:gerund_last,True,,False,0.0,0,10,0.0,0,10,8.85390625,7129.746077303212,0.00014504185471934735,0.00014504185471934735
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,7.622265625,2117.4033916559774,0.000508833959111467,0.000508833959111467
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,8.078125,3505.9100328756335,0.0003451709375284062,0.0003451709375284062
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,6.9984375,1264.9104634511068,0.0010542975314616085,0.0010542975314616085
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,6.846484375,1059.9787983972358,0.0011969697452987173,0.0011969697452987173
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,8.24765625,3947.9114364260363,0.00027276584046291005,0.00027276584046291005
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,7.819140625,2659.909599106051,0.0004356608697921504,0.0004356608697921504
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,7.76796875,2456.701049315773,0.0004392187221651881,0.0004392187221651881
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,8.50625,5070.478471279902,0.0002069536544460997,0.0002069536544460997
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,7.787109375,2497.9355486790487,0.0004344591365959587,0.0004344591365959587
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,7.8078125,2578.113953267113,0.0004261548317620185,0.0004261548317620185
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,8.8375,7033.242848374403,0.00014836086749718481,0.00014836086749718481
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,8.080078125,3378.5381013141523,0.00032508985984495444,0.00032508985984495444
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,7.365234375,1670.4993245159549,0.0006681379236903827,0.0006681379236903827
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,8.523828125,5303.031040031374,0.00021102412457431555,0.00021102412457431555
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,8.3078125,4356.502724298992,0.0002690001431157849,0.0002690001431157849
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,9.390625,12224.26739115507,8.510515515007357e-05,8.510515515007357e-05
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,7.72890625,2454.075788987108,0.00047581878620302307,0.00047581878620302307
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,8.64453125,5854.298285341009,0.0001818031408499443,0.0001818031408499443
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,8.46875,5040.443281202557,0.0002226372873255093,0.0002226372873255093
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,8.198828125,3738.2454141731787,0.0002830140145784131,0.0002830140145784131
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,7.496875,1909.211923901688,0.0005918581228303989,0.0005918581228303989
allenai/OLMo-2-0425-1B,main,compositional:gerund_last,True,,False,1.0,10,10,1.0,10,10,7.8234375,2632.1025247563125,0.00042536780643631574,0.00042536780643631574
