model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_fr_eng_first,correct_translate_fr_eng_first,total_translate_fr_eng_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_translate_fr_eng_first,True,,False,0.0,0,171,0.0,0,171,7.395285087719298,2139.623823333225,0.0008459240819380297,0.0008459240819380297
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_translate_fr_eng_first,True,,False,0.12280701754385964,21,171,0.12280701754385964,21,171,10.866639254385966,142014.38896006762,5.405566718019154e-05,5.405566718019154e-05
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_translate_fr_eng_first,True,,False,0.15789473684210525,27,171,0.15789473684210525,27,171,10.834703947368421,111585.31088844183,5.522055788215285e-05,5.522055788215285e-05
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_translate_fr_eng_first,True,,False,0.17543859649122806,30,171,0.17543859649122806,30,171,10.427905701754385,91947.0649487121,0.00010013763163368369,0.00010013763163368369
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_translate_fr_eng_first,True,,False,0.2046783625730994,35,171,0.2046783625730994,35,171,10.248926352339181,88557.86275975536,0.00012543998436096427,0.00012543998436096427
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_translate_fr_eng_first,True,,False,0.23976608187134502,41,171,0.23976608187134502,41,171,11.102841739766081,215954.38594241362,4.338868952112603e-05,4.338868952112603e-05
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_translate_fr_eng_first,True,,False,0.23976608187134502,41,171,0.23976608187134502,41,171,11.325612207602338,327511.5915126197,3.691836462335549e-05,3.691836462335549e-05
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_translate_fr_eng_first,True,,False,0.1871345029239766,32,171,0.1871345029239766,32,171,10.86545138888889,154032.76389140708,4.512066868743166e-05,4.512066868743166e-05
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_translate_fr_eng_first,True,,False,0.24561403508771928,42,171,0.24561403508771928,42,171,11.186220760233919,200366.11603266472,3.460888169293297e-05,3.460888169293297e-05
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_translate_fr_eng_first,True,,False,0.2046783625730994,35,171,0.2046783625730994,35,171,10.332807931286549,66873.13217306785,7.323937171859228e-05,7.323937171859228e-05
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_translate_fr_eng_first,True,,False,0.2222222222222222,38,171,0.2222222222222222,38,171,10.56469298245614,120986.46664346466,8.334349603704407e-05,8.334349603704407e-05
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_translate_fr_eng_first,True,,False,0.23391812865497075,40,171,0.23391812865497075,40,171,10.263934576023392,146083.94768370726,0.00011598285490168757,0.00011598285490168757
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_translate_fr_eng_first,True,,False,0.18128654970760233,31,171,0.18128654970760233,31,171,10.472382127192983,131949.66136868898,6.894756911210376e-05,6.894756911210376e-05
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_translate_fr_eng_first,True,,False,0.2631578947368421,45,171,0.2631578947368421,45,171,10.959612573099415,199339.92876239313,4.7889250102819783e-05,4.7889250102819783e-05
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_translate_fr_eng_first,True,,False,0.27485380116959063,47,171,0.27485380116959063,47,171,10.423359831871345,165142.73679146418,0.00011002873186692206,0.00011002873186692206
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_translate_fr_eng_first,True,,False,0.22807017543859648,39,171,0.22807017543859648,39,171,10.621984649122806,172478.11580229754,8.620887782966993e-05,8.620887782966993e-05
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_translate_fr_eng_first,True,,False,0.21052631578947367,36,171,0.21052631578947367,36,171,10.451982821637428,84284.69710745214,6.960789246724606e-05,6.960789246724606e-05
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_translate_fr_eng_first,True,,False,0.2222222222222222,38,171,0.2222222222222222,38,171,10.183913559941521,75748.96387309369,0.00010520705911983148,0.00010520705911983148
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_translate_fr_eng_first,True,,False,0.23976608187134502,41,171,0.23976608187134502,41,171,10.762541118421053,185514.66012288356,7.839687084900064e-05,7.839687084900064e-05
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_translate_fr_eng_first,True,,False,0.21637426900584794,37,171,0.21637426900584794,37,171,10.337102521929825,112411.95944599908,0.00014502901081713752,0.00014502901081713752
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_translate_fr_eng_first,True,,False,0.2046783625730994,35,171,0.2046783625730994,35,171,10.261673062865498,133631.98273986866,0.0001505225193490252,0.0001505225193490252
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_translate_fr_eng_first,True,,False,0.2222222222222222,38,171,0.2222222222222222,38,171,10.228070175438596,159291.17927064703,0.00012400782442100125,0.00012400782442100125
allenai/OLMo-2-0425-1B,main,compositional_translate_fr_eng_first,True,,False,0.24561403508771928,42,171,0.24561403508771928,42,171,10.549867507309942,254300.09497261257,0.00010565568885105782,0.00010565568885105782
