model,checkpoint,simple_icl_translate_eng_fr
allenai/OLMo-2-0425-1B,main,6.246618722904624
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,8.845635386560694
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,6.428411759393064
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,6.846770005419075
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,6.400164830202312
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,6.484804010115607
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,6.157728955924855
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,7.806403540462428
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,6.2802734375
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,6.1514687951589595
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,6.260166410765896
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,11.272579479768787
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,7.224406159682081
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,6.294402546965318
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,6.272173049132948
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,7.2804145592485545
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,6.24200686416185
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,7.22609962066474
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,6.134048726517341
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,6.97378522398844
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,6.905290372109826
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,6.9202718569364166
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,6.597328847543353
