model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_fr_eng,correct_translate_fr_eng,total_translate_fr_eng,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,simple_icl_translate_fr_eng,True,,False,0.0,0,175,0.0,0,175,12.067767857142858,549328.2538879364,9.226455990710458e-06,2.30539094672741e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,simple_icl_translate_fr_eng,True,,False,0.02857142857142857,5,175,0.02857142857142857,5,175,12.702723214285715,7104621.941708913,2.88846700430702e-05,0.001239978427003874
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,simple_icl_translate_fr_eng,True,,False,0.2571428571428571,45,175,0.2571428571428571,45,175,9.521607142857142,1680182.891836757,0.0006606724100657976,0.004949642490605892
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,simple_icl_translate_fr_eng,True,,False,0.35428571428571426,62,175,0.35428571428571426,62,175,10.210189732142856,8384600.784544103,0.00018230324380735924,0.0025553423451857116
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,simple_icl_translate_fr_eng,True,,False,0.4685714285714286,82,175,0.4685714285714286,82,175,9.820613839285715,11030063.195547808,0.00019113361060074557,0.0024835012288673577
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,simple_icl_translate_fr_eng,True,,False,0.5314285714285715,93,175,0.5314285714285715,93,175,9.913158482142856,5421676.319996794,0.00013064675780614015,0.0018753120105912376
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,simple_icl_translate_fr_eng,True,,False,0.5485714285714286,96,175,0.5485714285714286,96,175,9.666071428571428,23024584.675575163,0.00016704901543955158,0.0019463889800043458
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,simple_icl_translate_fr_eng,True,,False,0.5428571428571428,95,175,0.5428571428571428,95,175,8.821685267857143,4593708.3717175145,0.00041574294956862743,0.0026571089542596024
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,simple_icl_translate_fr_eng,True,,False,0.5428571428571428,95,175,0.5428571428571428,95,175,9.204280133928572,23897791.64848254,0.0003955860950183861,0.0032323402158772043
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,simple_icl_translate_fr_eng,True,,False,0.6114285714285714,107,175,0.6114285714285714,107,175,8.635546875,1495153.4031732224,0.0003945444583625867,0.0038054933204374843
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,simple_icl_translate_fr_eng,True,,False,0.5885714285714285,103,175,0.5885714285714285,103,175,8.739296875,15237859.416785253,0.0005473178986181364,0.0037726040488200866
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,simple_icl_translate_fr_eng,True,,False,0.6114285714285714,107,175,0.6114285714285714,107,175,8.628247767857143,10442028.19925951,0.0003946964114138839,0.0027076580434277566
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,simple_icl_translate_fr_eng,True,,False,0.5942857142857143,104,175,0.5942857142857143,104,175,8.990424107142857,6510874.005145529,0.00022733095899725453,0.002353290034211811
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,simple_icl_translate_fr_eng,True,,False,0.5942857142857143,104,175,0.5942857142857143,104,175,8.786696428571428,64043960.73068489,0.000331760973726845,0.003225881888736637
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,simple_icl_translate_fr_eng,True,,False,0.6457142857142857,113,175,0.6457142857142857,113,175,8.512879464285714,7559831.032482984,0.0003850835341715029,0.0034813118795635396
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,simple_icl_translate_fr_eng,True,,False,0.6171428571428571,108,175,0.6171428571428571,108,175,8.752433035714287,47801513.6671057,0.0003091248516090102,0.0035766346649805073
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,simple_icl_translate_fr_eng,True,,False,0.5942857142857143,104,175,0.5942857142857143,104,175,8.298582589285715,4918543.474115145,0.0005677725596145992,0.004364880718152728
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,simple_icl_translate_fr_eng,True,,False,0.5942857142857143,104,175,0.5942857142857143,104,175,7.849810267857142,1884202.2926538787,0.0010628078771967122,0.006111330831894865
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,simple_icl_translate_fr_eng,True,,False,0.6857142857142857,120,175,0.6857142857142857,120,175,7.65078125,1747111.7799700457,0.0009668943273593426,0.006090240047770712
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,simple_icl_translate_fr_eng,True,,False,0.68,119,175,0.68,119,175,7.460050223214286,565098.1943518799,0.001072169608780063,0.007635844337828876
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,simple_icl_translate_fr_eng,True,,False,0.6457142857142857,113,175,0.6457142857142857,113,175,8.824185267857143,5265064.7499022335,0.00026318868364549777,0.003795180924817046
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,simple_icl_translate_fr_eng,True,,False,0.6571428571428571,115,175,0.6571428571428571,115,175,8.531216517857143,1142620.345321932,0.0006399989233007186,0.00430714342787295
allenai/OLMo-2-0425-1B,main,simple_icl_translate_fr_eng,True,,False,0.7485714285714286,131,175,0.7485714285714286,131,175,8.190145089285714,244014.50703660972,0.00030290012464443967,0.003109159242023301
