model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_RL4,correct_RL4,total_RL4,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,5.768229166666667,380.1068758704382,0.0037950104865717665,0.0037950104865717665
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,9.285807291666666,18379.61502888148,0.00014033737074591211,0.00014033737074591211
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,9.478678385416666,21016.31485986475,0.00010976573306932168,0.00010976573306932168
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.488932291666666,53876.672276253164,4.5229851430780755e-05,4.5229851430780755e-05
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.474772135416666,55335.7508838269,5.493725691388247e-05,5.493725691388247e-05
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,9.952473958333334,28019.25204456327,6.584796848365224e-05,6.584796848365224e-05
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.084309895833334,41978.67251086318,6.374833702151916e-05,6.374833702151916e-05
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.393880208333334,50379.343358679966,4.349466817884818e-05,4.349466817884818e-05
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.3046875,41041.66497138888,5.0933032260792584e-05,5.0933032260792584e-05
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.529296875,50646.69824853885,3.646534875424564e-05,3.646534875424564e-05
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.4306640625,46179.29285485157,4.085774872998181e-05,4.085774872998181e-05
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.619466145833334,57805.49190677347,3.269699251702394e-05,3.269699251702394e-05
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.649739583333334,60138.575741824,3.546292391992489e-05,3.546292391992489e-05
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.666341145833334,63397.858593108955,3.757225581853272e-05,3.757225581853272e-05
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.410807291666666,56663.26421132498,5.1215883770427917e-05,5.1215883770427917e-05
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.3291015625,52620.65479024247,6.616481757850815e-05,6.616481757850815e-05
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.876953125,100326.40945799423,4.0173760047893915e-05,4.0173760047893915e-05
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,9.986979166666666,32136.346667295842,7.061265986002871e-05,7.061265986002871e-05
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.564453125,49675.176739419934,3.389288947497248e-05,3.389288947497248e-05
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.397786458333334,53394.42816992154,5.059252189859817e-05,5.059252189859817e-05
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.21728515625,46665.878734771446,6.601143949749097e-05,6.601143949749097e-05
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,10.26171875,46647.2150236479,6.529132041926992e-05,6.529132041926992e-05
allenai/OLMo-2-0425-1B,main,textfrct_RL4,True,,False,0.0,0,24,0.0,0,24,12.565104166666666,415312.9696608572,4.711422615677839e-06,4.711422615677839e-06
