model,checkpoint,simple
allenai/OLMo-2-0425-1B,main,6.881654780316619
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,7.743759810261203
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,6.720755140713175
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,6.712028010660969
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,6.807485896566903
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,6.73927254669238
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,6.781245942714673
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,7.50734266757207
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,6.703050158550705
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,6.600484954154738
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,6.761288522347358
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,11.086928035572337
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,7.116055269499083
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,6.680498766311591
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,6.6168725971955755
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,7.09464486793797
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,6.413405260713756
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,7.044801011563106
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,6.588888468537687
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,6.893296013575859
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,6.799718353441296
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,6.835778342521437
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,6.808603318582847
