model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_uppercase,correct_uppercase,total_uppercase,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,simple_icl_uppercase,True,,False,0.0,0,26,0.0,0,26,8.119140625,4382.987468888254,0.00040885194118540826,0.00040885194118540826
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,simple_icl_uppercase,True,,False,0.07692307692307693,2,26,0.07692307692307693,2,26,11.389723557692308,278682.54425159557,2.3110040984892584e-05,2.3110040984892584e-05
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,simple_icl_uppercase,True,,False,0.038461538461538464,1,26,0.038461538461538464,1,26,11.996844951923077,496968.2914880387,7.343413360535131e-05,7.343413360535131e-05
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,simple_icl_uppercase,True,,False,0.07692307692307693,2,26,0.07692307692307693,2,26,8.489483173076923,9618.324940197785,0.00037637667423931915,0.00037637667423931915
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,simple_icl_uppercase,True,,False,0.11538461538461539,3,26,0.11538461538461539,3,26,9.011268028846153,10973.082131868096,0.00017353090440558748,0.00017353090440558748
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,simple_icl_uppercase,True,,False,0.07692307692307693,2,26,0.07692307692307693,2,26,9.634314903846153,22257.702830013295,9.020829307839406e-05,9.020829307839406e-05
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,simple_icl_uppercase,True,,False,0.8076923076923077,21,26,0.8076923076923077,21,26,8.026141826923077,3904.4621162662133,0.00041642812309652504,0.00041642812309652504
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,simple_icl_uppercase,True,,False,0.6153846153846154,16,26,0.6153846153846154,16,26,8.146334134615385,4412.7576041653965,0.000352099593686125,0.000352099593686125
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,simple_icl_uppercase,True,,False,0.15384615384615385,4,26,0.15384615384615385,4,26,10.117788461538462,34717.96006650558,5.904896658975358e-05,5.904896658975358e-05
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,simple_icl_uppercase,True,,False,0.5384615384615384,14,26,0.5384615384615384,14,26,7.7471454326923075,3577.546820437189,0.0007126630653925083,0.0007126630653925083
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,simple_icl_uppercase,True,,False,0.8076923076923077,21,26,0.8076923076923077,21,26,7.691556490384615,2595.595322508149,0.0005167346123416988,0.0005167346123416988
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,simple_icl_uppercase,True,,False,0.6923076923076923,18,26,0.6923076923076923,18,26,7.959435096153846,3363.52458550139,0.0004096212068934044,0.0004096212068934044
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,simple_icl_uppercase,True,,False,0.3076923076923077,8,26,0.3076923076923077,8,26,7.251953125,1864.7226628972853,0.0008986363621165076,0.0008986363621165076
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,simple_icl_uppercase,True,,False,0.9230769230769231,24,26,0.9230769230769231,24,26,8.360276442307692,5310.211058185941,0.00027531675306718956,0.00027531675306718956
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,simple_icl_uppercase,True,,False,0.9230769230769231,24,26,0.9230769230769231,24,26,8.750450721153847,6877.403122897239,0.0001728585339781344,0.0001728585339781344
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,simple_icl_uppercase,True,,False,0.6923076923076923,18,26,0.6923076923076923,18,26,8.425931490384615,7454.042683609307,0.0003071555320428535,0.0003071555320428535
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,simple_icl_uppercase,True,,False,0.5384615384615384,14,26,0.5384615384615384,14,26,8.696514423076923,7346.1818141819185,0.00020749867427526534,0.00020749867427526534
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,simple_icl_uppercase,True,,False,0.38461538461538464,10,26,0.38461538461538464,10,26,8.080528846153847,5312.490817536566,0.0005149454358835371,0.0005149454358835371
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,simple_icl_uppercase,True,,False,0.4230769230769231,11,26,0.4230769230769231,11,26,8.452524038461538,6222.08810209711,0.0002624570152443376,0.0002624570152443376
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,simple_icl_uppercase,True,,False,0.7692307692307693,20,26,0.7692307692307693,20,26,5.774639423076923,359.08935078833053,0.0035019764692326475,0.0035019764692326475
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,simple_icl_uppercase,True,,False,0.7307692307692307,19,26,0.7307692307692307,19,26,7.20703125,1599.3453994534977,0.0008604664844038754,0.0008604664844038754
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,simple_icl_uppercase,True,,False,1.0,26,26,1.0,26,26,6.763822115384615,952.4660183609685,0.001255573021320709,0.001255573021320709
allenai/OLMo-2-0425-1B,main,simple_icl_uppercase,True,,False,0.8076923076923077,21,26,0.8076923076923077,21,26,8.31805889423077,5087.304925325398,0.00030960499190279514,0.00030960499190279514
