model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_upper_reverse_last,correct_upper_reverse_last,total_upper_reverse_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_upper_reverse_last,True,,False,0.0,0,26,0.0,0,26,8.056039663461538,4111.496255521295,0.0004153669603134026,0.0004153669603134026
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_upper_reverse_last,True,,False,0.6538461538461539,17,26,0.6538461538461539,17,26,9.786959134615385,28476.34202412132,7.690049486314429e-05,7.690049486314429e-05
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_upper_reverse_last,True,,False,0.5384615384615384,14,26,0.5384615384615384,14,26,9.06219951923077,16649.883289170775,0.00035949706306919935,0.00035949706306919935
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.535907451923077,2114.4613810371998,0.0006174550334910503,0.0006174550334910503
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.309495192307692,4642.722790045874,0.0002815429009052519,0.0002815429009052519
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.754056490384615,7750.084363719798,0.00020277617805091553,0.00020277617805091553
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.021935096153847,4291.825911205671,0.00042663751370755073,0.00042663751370755073
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.145282451923077,4037.4533144786637,0.0003409074007976301,0.0003409074007976301
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,8.870192307692308,8555.922192444707,0.00016471666463532255,0.00016471666463532255
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.873347355769231,3466.54569021642,0.0005788342424124232,0.0005788342424124232
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.459735576923077,2028.0668033753195,0.000678719991560193,0.000678719991560193
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.7118389423076925,2651.2042522665356,0.0005749411320333781,0.0005749411320333781
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,6.919170673076923,1170.1026657089276,0.0011304566550792198,0.0011304566550792198
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.231219951923077,1651.9421761431838,0.0008559052483567975,0.0008559052483567975
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_upper_reverse_last,True,,False,0.9615384615384616,25,26,0.9615384615384616,25,26,8.345552884615385,4926.584727812552,0.0002725435962227054,0.0002725435962227054
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.306340144230769,1652.8212689987345,0.0007537254314057561,0.0007537254314057561
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.7041766826923075,2705.0922375029454,0.000539387459073958,0.000539387459073958
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,6.8233173076923075,1079.527304088782,0.0012618556303978967,0.0012618556303978967
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.600811298076923,2590.842761699614,0.0006832810002252142,0.0006832810002252142
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,5.9969951923076925,473.5982717418548,0.0029279829889927206,0.0029279829889927206
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.2040264423076925,1602.2126085000614,0.0008690231149174933,0.0008690231149174933
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.4598858173076925,1895.3624039196188,0.0006289391619105891,0.0006289391619105891
allenai/OLMo-2-0425-1B,main,compositional_upper_reverse_last,True,,False,1.0,26,26,1.0,26,26,7.596153846153846,2442.42912980756,0.0006316889981614945,0.0006316889981614945
