model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_upper_last,correct_upper_last,total_upper_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional:upper_last,True,,False,0.027777777777777776,1,36,0.027777777777777776,1,36,8.073567708333334,3878.962192721592,0.0003880332354124706,0.0003880332354124706
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional:upper_last,True,,False,0.1388888888888889,5,36,0.1388888888888889,5,36,11.1650390625,130904.41701155665,3.957710251095447e-05,3.957710251095447e-05
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional:upper_last,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.322916666666666,60065.94342778527,5.8431878778173355e-05,5.8431878778173355e-05
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional:upper_last,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.646050347222221,77974.76654970215,4.867891070090101e-05,4.867891070090101e-05
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional:upper_last,True,,False,0.0,0,36,0.0,0,36,11.355034722222221,230355.72759105603,2.7999318686101967e-05,2.7999318686101967e-05
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional:upper_last,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.537109375,55759.642515180036,4.161054016794958e-05,4.161054016794958e-05
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional:upper_last,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,11.315538194444445,135183.60749486776,2.414187212119609e-05,2.414187212119609e-05
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional:upper_last,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,10.820855034722221,96513.62413674482,4.478491019295564e-05,4.478491019295564e-05
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional:upper_last,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,11.60373263888889,193424.95342098887,1.6851858656438156e-05,1.6851858656438156e-05
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional:upper_last,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,10.107855902777779,68751.74776858557,0.00010191845878107386,0.00010191845878107386
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional:upper_last,True,,False,0.05555555555555555,2,36,0.05555555555555555,2,36,10.58420138888889,59864.78137457208,4.6249407536897563e-05,4.6249407536897563e-05
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional:upper_last,True,,False,0.05555555555555555,2,36,0.05555555555555555,2,36,10.649088541666666,93700.76313347655,4.729374098266914e-05,4.729374098266914e-05
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional:upper_last,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.369791666666666,70942.64565047779,8.310580219470702e-05,8.310580219470702e-05
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional:upper_last,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,9.949652777777779,45474.95549879901,7.67004039506809e-05,7.67004039506809e-05
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional:upper_last,True,,False,0.1388888888888889,5,36,0.1388888888888889,5,36,10.52322048611111,67887.25708782287,5.181601862584915e-05,5.181601862584915e-05
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional:upper_last,True,,False,0.05555555555555555,2,36,0.05555555555555555,2,36,9.723524305555555,29211.12141847529,0.00012063099892037844,0.00012063099892037844
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional:upper_last,True,,False,0.05555555555555555,2,36,0.05555555555555555,2,36,10.10546875,48216.3151316686,8.06283859177406e-05,8.06283859177406e-05
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional:upper_last,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.03689236111111,48126.665518588765,7.475867674628068e-05,7.475867674628068e-05
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional:upper_last,True,,False,0.05555555555555555,2,36,0.05555555555555555,2,36,11.007378472222221,100347.3650766988,3.136005447754297e-05,3.136005447754297e-05
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional:upper_last,True,,False,0.05555555555555555,2,36,0.05555555555555555,2,36,10.522569444444445,94665.11581211019,7.98051838823474e-05,7.98051838823474e-05
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional:upper_last,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,11.126519097222221,112221.02962435914,2.9952059272083773e-05,2.9952059272083773e-05
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional:upper_last,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,11.05685763888889,200029.43000738707,3.621695626169749e-05,3.621695626169749e-05
allenai/OLMo-2-0425-1B,main,compositional:upper_last,True,,False,0.16666666666666666,6,36,0.16666666666666666,6,36,10.297743055555555,61666.26326733473,5.5443919019096464e-05,5.5443919019096464e-05
