model,checkpoint,simple_icl_singular_to_plural
allenai/OLMo-2-0425-1B,main,6.141927083333333
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,5.028989109848485
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,5.146176609848485
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,5.692530776515151
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,5.551361268939394
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,5.459031723484848
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,5.666323390151515
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,4.770584753787879
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,5.9095525568181815
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,5.7580847537878785
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,5.5625591856060606
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,10.930634469696969
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,4.784546638257575
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,5.73967803030303
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,5.436091382575758
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,5.090867660984848
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,5.7811908143939394
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,5.641145833333334
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,5.579462594696969
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,5.359724195075757
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,5.317814867424242
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,5.641962594696969
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,5.367223011363636
