model,checkpoint,compositional_translate_fr_eng_last
allenai/OLMo-2-0425-1B,main,10.899785270467836
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,10.877010233918128
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,10.897158260233919
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,10.4937408625731
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,10.988669590643275
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,11.526589912280702
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,10.934735928362572
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,11.063939144736842
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,11.006167763157896
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,10.572825292397662
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,10.301672149122806
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,7.720897295321637
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,11.03312317251462
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,11.220440423976608
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,10.582373903508772
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,10.696363304093568
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,10.648506030701755
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,11.584155701754385
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,10.512518274853802
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,11.934484649122806
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,11.349415204678362
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,11.924616228070175
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,10.93185763888889
