model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_plural_upper,correct_plural_upper,total_plural_upper,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional:plural_upper,True,,False,0.0,0,10,0.0,0,10,11.0359375,159710.87356618635,1.4995912979651483e-09,3.23014287823049e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional:plural_upper,True,,False,0.4,4,10,0.4,4,10,5.0125,253.2127462728925,0.00014359875135259417,0.013553997619624124
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional:plural_upper,True,,False,0.3,3,10,0.3,3,10,4.827734375,227.1171793085278,0.00021546969907929356,0.0119806673052151
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional:plural_upper,True,,False,0.6,6,10,0.6,6,10,4.615234375,137.19824764560195,0.00027263141728275757,0.0149109402245891
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional:plural_upper,True,,False,0.7,7,10,0.7,7,10,4.578515625,134.20832759815113,0.0004669089823932444,0.016516770051442753
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional:plural_upper,True,,False,0.7,7,10,0.7,7,10,4.6841796875,153.01697592087115,0.00012685430778463426,0.012742425673785163
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional:plural_upper,True,,False,0.6,6,10,0.6,6,10,4.050390625,73.18363739776183,0.0016543258940180476,0.027138981291891757
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional:plural_upper,True,,False,0.5,5,10,0.5,5,10,4.3474609375,106.10362502463465,0.00028855092316706205,0.01884244956848023
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional:plural_upper,True,,False,0.7,7,10,0.7,7,10,4.76015625,209.1429667922429,0.00027650885231716256,0.014760337187540348
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional:plural_upper,True,,False,0.7,7,10,0.7,7,10,4.3025390625,95.43469788335787,0.0006230340330314787,0.019070288477163126
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional:plural_upper,True,,False,0.7,7,10,0.7,7,10,4.424609375,132.28749873517614,0.0007337833013035036,0.020091502996990526
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional:plural_upper,True,,False,0.6,6,10,0.6,6,10,4.5591796875,132.57258430042162,0.0004389423434346799,0.01623049480775989
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional:plural_upper,True,,False,0.6,6,10,0.6,6,10,4.55,131.13923285804944,0.00022141249730154574,0.015458858470210562
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional:plural_upper,True,,False,0.8,8,10,0.8,8,10,4.4146484375,101.33684549168336,0.00024758005139055214,0.015403057840744718
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional:plural_upper,True,,False,0.7,7,10,0.7,7,10,4.919140625,167.6735666021424,7.706130525670336e-05,0.009469611190489006
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional:plural_upper,True,,False,0.8,8,10,0.8,8,10,4.4021484375,113.52034207490965,0.00020452375851898741,0.01671014000134531
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional:plural_upper,True,,False,0.8,8,10,0.8,8,10,4.252734375,83.76722808934304,0.00023937553860108816,0.01699083081245057
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional:plural_upper,True,,False,0.8,8,10,0.8,8,10,3.9859375,67.62799660272273,0.0004123872647001789,0.023121336638551503
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional:plural_upper,True,,False,0.6,6,10,0.6,6,10,4.363671875,116.25345386311608,0.00046993324451360637,0.019371895750438343
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional:plural_upper,True,,False,0.8,8,10,0.8,8,10,4.026171875,73.90353729406323,0.0005190965397896744,0.023172054497198533
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional:plural_upper,True,,False,0.7,7,10,0.7,7,10,4.2734375,102.87161523330073,0.0005897882294159803,0.020965869403968565
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional:plural_upper,True,,False,0.9,9,10,0.9,9,10,4.4921875,109.67528496067064,0.0001670153782613504,0.014099863720159575
allenai/OLMo-2-0425-1B,main,compositional:plural_upper,True,,False,1.0,10,10,1.0,10,10,4.543359375,106.8471246583025,0.00013201706013715744,0.011995139967269131
