model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_fr_eng_upper,correct_translate_fr_eng_upper,total_translate_fr_eng_upper,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional:translate_fr_eng_upper,True,,False,0.0,0,10,0.0,0,10,13.08828125,1290883.753979498,8.542655156269291e-07,3.9169139429472095e-06
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional:translate_fr_eng_upper,True,,False,0.1,1,10,0.1,1,10,9.4466796875,1857706.408816421,1.6185006818324983e-05,0.004959507190300262
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional:translate_fr_eng_upper,True,,False,0.2,2,10,0.2,2,10,7.7361328125,27941.889077862295,8.41400848451987e-05,0.00904120715344885
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional:translate_fr_eng_upper,True,,False,0.2,2,10,0.2,2,10,7.2806640625,51511.136281162246,0.00015518795668294672,0.008883204949138022
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional:translate_fr_eng_upper,True,,False,0.4,4,10,0.4,4,10,7.273046875,111748.81841244137,0.00021031818109623957,0.012205199735950814
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional:translate_fr_eng_upper,True,,False,0.8,8,10,0.8,8,10,7.1546875,121510.08315542561,0.00020583884542751864,0.010936139484134737
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional:translate_fr_eng_upper,True,,False,0.4,4,10,0.4,4,10,6.740625,29643.498961810565,0.0003500442161523111,0.015306653955585661
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional:translate_fr_eng_upper,True,,False,0.6,6,10,0.6,6,10,6.579296875,69956.51872034822,0.0005033205790153617,0.009984142387990584
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional:translate_fr_eng_upper,True,,False,0.3,3,10,0.3,3,10,7.3513671875,296753.3118417414,0.00034150230290488513,0.01252658933357648
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional:translate_fr_eng_upper,True,,False,0.5,5,10,0.5,5,10,6.7337890625,56975.51394563238,0.0009826019906401574,0.022584612925146946
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional:translate_fr_eng_upper,True,,False,0.5,5,10,0.5,5,10,6.77421875,23228.705222898632,0.00045505888866184403,0.016782736045519116
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional:translate_fr_eng_upper,True,,False,0.5,5,10,0.5,5,10,6.7892578125,259825.70175235532,0.0003986212215655202,0.012713824803288467
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional:translate_fr_eng_upper,True,,False,0.5,5,10,0.5,5,10,6.7138671875,91421.75518301831,0.0003828557625987582,0.013268297437202398
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional:translate_fr_eng_upper,True,,False,0.6,6,10,0.6,6,10,6.734765625,162805.21334048113,0.000401586304354915,0.013254601405121236
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional:translate_fr_eng_upper,True,,False,0.7,7,10,0.7,7,10,6.359765625,7192.258733529559,0.0005653287033723222,0.015620058309331521
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional:translate_fr_eng_upper,True,,False,0.6,6,10,0.6,6,10,6.8939453125,6481.413852187871,0.0002250852669682647,0.007371994693299172
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional:translate_fr_eng_upper,True,,False,0.6,6,10,0.6,6,10,6.6361328125,101230.39993128701,0.00047652189349588783,0.015337533759087054
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional:translate_fr_eng_upper,True,,False,0.5,5,10,0.5,5,10,6.03125,57378.08967329927,0.0010610152591641173,0.0233671118549239
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional:translate_fr_eng_upper,True,,False,0.7,7,10,0.7,7,10,6.000390625,159843.79267068862,0.0021100612594000595,0.01954272430786292
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional:translate_fr_eng_upper,True,,False,0.6,6,10,0.6,6,10,6.1654296875,11443.925909241765,0.00097912689599032,0.019698701248741957
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional:translate_fr_eng_upper,True,,False,0.5,5,10,0.5,5,10,7.0939453125,147556.06104478933,0.000669730812057925,0.01319728184011126
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional:translate_fr_eng_upper,True,,False,0.5,5,10,0.5,5,10,6.0931640625,2897.658659998505,0.0005509747643972775,0.015065737724585845
allenai/OLMo-2-0425-1B,main,compositional:translate_fr_eng_upper,True,,False,0.7,7,10,0.7,7,10,6.5703125,2508.4255122282366,0.00029321973428064285,0.00636342252968094
