model,checkpoint,textfrct_RL3
allenai/OLMo-2-0425-1B,main,11.3171875
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,10.604296875
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,10.592578125
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,11.05078125
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,11.040625
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,10.9046875
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,11.0765625
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,10.4958984375
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,10.847265625
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,11.083203125
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,10.897265625
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,6.68671875
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,10.882421875
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,11.159375
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,10.444140625
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,10.32890625
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,10.7515625
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,9.943359375
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,10.51875
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,10.432421875
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,10.5044921875
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,10.218359375
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,11.016796875
