model,checkpoint,simple_icl_translate_fr_eng
allenai/OLMo-2-0425-1B,main,8.190145089285714
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,12.702723214285715
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,8.739296875
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,8.628247767857143
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,8.990424107142857
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,8.786696428571428
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,8.512879464285714
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,9.521607142857142
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,8.752433035714287
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,8.298582589285715
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,7.849810267857142
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,12.067767857142858
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,10.210189732142856
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,7.65078125
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,7.460050223214286
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,9.820613839285715
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,8.824185267857143
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,9.913158482142856
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,8.531216517857143
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,9.666071428571428
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,8.821685267857143
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,9.204280133928572
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,8.635546875
