model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_upper_reverse,correct_upper_reverse,total_upper_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,10.23415798611111,167185.34655326352,6.330516193761643e-09,5.8148375583524486e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.513346354166666,279928.68360976205,4.0958692090550956e-08,0.0004649037995826641
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.46603732638889,126728.5859488953,1.8547875126829345e-08,0.0004944721432110235
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.421983506944445,50535.940857773145,6.624571961716938e-08,0.0005328100875605867
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.249565972222221,50614.26668503016,5.4331632688950945e-08,0.0007334324435873768
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.09396701388889,61595.82923588775,7.977486785413097e-08,0.001047614870022131
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.260633680555555,227721.15002766225,3.33834503467982e-07,0.0007198461814972345
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.179361979166666,96076.74124367753,2.7745967326257148e-08,0.0007809387528121333
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.46267361111111,431153.3391729322,8.316573362126165e-09,0.0004894207845092196
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,7.980143229166667,197959.5755958894,7.72246997847936e-08,0.0009682194488347463
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.186631944444445,57505.408348821366,4.198248851470857e-08,0.0006279510957933164
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.111219618055555,298384.58856169874,7.163795822141427e-08,0.0007999815173489472
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.157877604166666,94637.00121799915,2.0235244461683637e-08,0.0007211056291758383
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.05197482638889,32533.73654261648,4.70575293050441e-08,0.0007168429960592866
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.355794270833334,422205.1793530854,2.0200640549671156e-08,0.0007979096692971013
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.166124131944445,150202.71927644362,1.9066469728829206e-08,0.0007923001343167944
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.247395833333334,195647.25040837942,7.852072467692694e-09,0.0006048383400553841
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.072916666666666,276658.52190379123,2.084665308423075e-08,0.0008600233291726415
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.10763888888889,377526.61392431014,2.0949660283877133e-08,0.0008012982194133659
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,7.840711805555555,236945.60131320704,1.5075344767352972e-07,0.0010834783721085308
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.186089409722221,598135.5119376616,1.2157700986293574e-08,0.0006254415237928702
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,8.21462673611111,263234.18301211967,1.553686714666668e-07,0.000833920595541353
allenai/OLMo-2-0425-1B,main,compositional:upper_reverse,True,,False,0.0,0,36,0.0,0,36,7.435872395833333,42763.237195786896,4.973729736247889e-07,0.001773137201053711
