model,checkpoint,compositional_translate_fr_eng_lower
allenai/OLMo-2-0425-1B,main,8.674833241959064
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,11.862515990497077
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,8.455169499269006
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,8.372213084795321
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,8.367050438596491
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,8.802882858187134
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,8.775013706140351
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,9.486602247807017
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,8.724735014619883
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,8.38626187865497
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,8.006533260233919
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,11.717059576023392
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,9.483621162280702
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,8.018309119152047
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,8.178865131578947
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,9.335629111842104
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,8.202999360380117
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,9.465711805555555
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,8.152937682748538
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,9.02445403874269
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,8.490040204678362
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,8.995305646929825
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,8.518823099415204
