model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_CV2,correct_CV2,total_CV2,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,11.3451171875,195865.82506458246,1.1654236033312524e-07,1.951218207690422e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,7.054150390625,29722.231087101834,1.6394671972456745e-06,0.002907958912881456
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,7.2205078125,188824.01657833744,1.3359756789795362e-07,0.0033053340782276406
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,6.56259765625,83617.71270675235,5.17296238068691e-07,0.006511100439369988
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,6.62705078125,147796.91392080992,3.739620809170648e-07,0.006633235935837129
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,6.381005859375,139540.00685544993,9.407282730132281e-07,0.006939072892399383
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,6.865576171875,337763.6604785946,6.407661648936192e-07,0.005937763629588938
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,6.3630859375,260472.11370664183,5.482617251187599e-07,0.008894599789886229
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,6.399658203125,151647.7590429844,5.582437145573109e-07,0.008129229227648114
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,6.707275390625,330089.7141727704,4.3265083853217515e-07,0.006706502149856461
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,6.82763671875,565045.1114241874,3.746584798466962e-08,0.00732915470152426
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,6.73798828125,264869.45484948915,1.0728392210200298e-07,0.007511076627151459
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,6.75751953125,221414.0501385851,1.0311867393345342e-07,0.0061735121448368456
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,6.677490234375,117011.43044453354,1.5401669308864218e-07,0.0070622440853745135
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,6.478369140625,148410.7509524083,1.6661623558684035e-07,0.00911518387162269
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,6.704736328125,246286.8284836833,7.283520990635403e-08,0.007884321803925357
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,6.655810546875,92446.34080255635,4.054046447056023e-07,0.00721620820853148
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,6.725537109375,469742.53136049304,1.5602931562512308e-07,0.007429254071877502
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,6.584326171875,1605633.6168997851,2.5281421014279077e-07,0.009523499173758424
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,6.484423828125,366373.9688218845,6.370207744352358e-07,0.008828031201785585
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,6.255810546875,141929.6867801952,8.564191727945651e-07,0.009778028763241546
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,6.301416015625,441834.30649372225,1.0191355295315038e-07,0.010332488861419131
allenai/OLMo-2-0425-1B,main,textfrct_CV2,True,,False,0.0,0,40,0.0,0,40,5.990771484375,58369.63429101971,5.260608385620245e-07,0.013084693537173975
