model,checkpoint,textfrct_RL1
allenai/OLMo-2-0425-1B,main,16.294270833333332
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,12.0984375
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,13.5234375
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,13.202083333333333
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,13.784895833333334
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,13.98125
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,13.614583333333334
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,14.477604166666667
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,14.210416666666667
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,12.66875
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,13.834895833333333
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,8.516145833333333
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,14.975520833333333
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,13.633333333333333
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,12.740104166666667
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,13.942708333333334
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,13.558333333333334
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,13.130208333333334
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,14.220833333333333
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,13.88125
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,13.069791666666667
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,12.818229166666667
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,13.861458333333333
