model,checkpoint,compositional:upper_reverse
allenai/OLMo-2-0425-1B,main,7.435872395833333
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,8.513346354166666
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,8.186631944444445
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,8.111219618055555
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,8.157877604166666
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,8.05197482638889
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,8.355794270833334
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,8.46603732638889
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,8.166124131944445
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,8.247395833333334
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,8.072916666666666
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,10.23415798611111
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,8.421983506944445
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,8.10763888888889
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,7.840711805555555
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,8.249565972222221
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,8.186089409722221
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,8.09396701388889
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,8.21462673611111
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,8.260633680555555
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,8.179361979166666
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,8.46267361111111
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,7.980143229166667
