model,checkpoint,simple_icl_translate_sp_eng
allenai/OLMo-2-0425-1B,main,7.935481039325842
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,12.74294461025281
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,8.06837034761236
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,8.02806794241573
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,8.049464536516854
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,8.053414676966293
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,8.106297182233146
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,9.161911867977528
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,8.335509568117978
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,7.715628291783708
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,7.367511192064606
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,11.928634129213483
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,9.53246795997191
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,7.075606785463483
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,7.121433900983146
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,9.205654187148877
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,7.967718574438202
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,8.917266502808989
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,7.75901948735955
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,8.8110625877809
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,7.859660287921348
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,8.607367011938202
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,7.959818293539326
