model,checkpoint,textfrct_CV1
allenai/OLMo-2-0425-1B,main,8.161171875
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,10.23921875
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,9.972421875
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,9.7947265625
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,10.2636328125
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,10.16142578125
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,9.4858984375
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,10.80890625
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,10.0303515625
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,9.790859375
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,9.7455859375
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,11.606171875
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,10.5249609375
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,9.12453125
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,9.3908203125
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,10.0108984375
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,8.59501953125
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,9.9968359375
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,9.17078125
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,10.0383203125
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,9.1157421875
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,9.3573046875
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,10.04765625
