model,checkpoint,token_reversal
allenai/OLMo-2-0425-1B,main,5.767431640625
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,6.6238525390625
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,7.08359375
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,6.69637451171875
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,6.234976196289063
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,7.13734130859375
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,6.081488037109375
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,7.994677734375
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,7.40849609375
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,6.12601318359375
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,6.67626953125
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,9.976953125
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,7.2742431640625
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,6.266259765625
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,5.843035888671875
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,7.153631591796875
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,5.941796875
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,7.319061279296875
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,5.807568359375
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,7.471746826171875
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,7.4650634765625
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,7.521630859375
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,7.2886474609375
