model,checkpoint,textfrct_MA2
allenai/OLMo-2-0425-1B,main,14.638802083333333
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,11.502604166666666
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,13.475
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,13.778125
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,13.182552083333333
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,13.815364583333333
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,13.688020833333333
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,12.431510416666667
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,13.8078125
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,13.329947916666667
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,13.48515625
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,8.101822916666666
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,13.73203125
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,13.657291666666667
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,14.0578125
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,13.061979166666667
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,12.793489583333333
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,12.78671875
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,13.326302083333333
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,12.805208333333333
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,12.891927083333334
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,13.056770833333333
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,13.40078125
