model,checkpoint,compositional_upper_reverse_first
allenai/OLMo-2-0425-1B,main,7.609675480769231
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,9.725060096153847
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,7.398737980769231
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,7.562950721153846
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,6.804387019230769
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,7.334134615384615
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,8.262319711538462
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,8.911959134615385
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,7.131159855769231
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,7.439903846153846
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,6.880558894230769
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,7.951021634615385
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,7.560546875
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,7.565955528846154
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,5.902493990384615
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,8.096153846153847
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,7.286658653846154
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,8.59795673076923
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,7.453725961538462
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,7.900691105769231
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,8.111778846153847
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,8.843149038461538
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,8.116135817307692
