model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_sp_eng_lower,correct_translate_sp_eng_lower,total_translate_sp_eng_lower,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_translate_sp_eng_lower,True,,False,0.0,0,178,0.0,0,178,11.715458216292134,349321.2997168394,1.1697403066011994e-05,2.9090102807141707e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_translate_sp_eng_lower,True,,False,0.0449438202247191,8,178,0.0449438202247191,8,178,11.771769662921349,1351325.7905180668,1.4459241378916561e-05,0.0004549649532769199
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_translate_sp_eng_lower,True,,False,0.3202247191011236,57,178,0.3202247191011236,57,178,9.454397823033707,669966.5055757097,0.0003154136973069591,0.002531437311186658
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_translate_sp_eng_lower,True,,False,0.4606741573033708,82,178,0.4606741573033708,82,178,9.122640888342696,864274.97662832,0.00031567876104564454,0.0025969382904264897
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_translate_sp_eng_lower,True,,False,0.5337078651685393,95,178,0.5337078651685393,95,178,9.006451896067416,1899240.941646432,0.0002517877215518082,0.0026214933876083195
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_translate_sp_eng_lower,True,,False,0.5898876404494382,105,178,0.5898876404494382,105,178,8.97655152738764,495447.5302723257,0.00018413320295506352,0.0020415069182288877
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_translate_sp_eng_lower,True,,False,0.651685393258427,116,178,0.651685393258427,116,178,8.52857268258427,927777.9736042741,0.00023333340428379954,0.002377780593028061
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_translate_sp_eng_lower,True,,False,0.6685393258426966,119,178,0.6685393258426966,119,178,7.958150456460674,102896.80183275125,0.0004914569835497141,0.00309275534090465
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_translate_sp_eng_lower,True,,False,0.6685393258426966,119,178,0.6685393258426966,119,178,8.46044373244382,140467.8901343246,0.00025518141790408704,0.002620090060613463
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_translate_sp_eng_lower,True,,False,0.7359550561797753,131,178,0.7359550561797753,131,178,7.670305916432584,39349.01147228959,0.0006447137557022112,0.003898534367854635
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_translate_sp_eng_lower,True,,False,0.6966292134831461,124,178,0.6966292134831461,124,178,7.73120391502809,260435.09061545794,0.0006073862968357834,0.004263084033761749
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_translate_sp_eng_lower,True,,False,0.6966292134831461,124,178,0.6966292134831461,124,178,7.788239554073034,174782.3617574699,0.0005039142203878687,0.0037905918215166883
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_translate_sp_eng_lower,True,,False,0.7359550561797753,131,178,0.7359550561797753,131,178,7.742121664325842,305593.76231284044,0.0005121202329104831,0.0038295606577552405
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_translate_sp_eng_lower,True,,False,0.7303370786516854,130,178,0.7303370786516854,130,178,7.957546962780899,91829.5961252495,0.00040358364960001685,0.003646951595388285
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_translate_sp_eng_lower,True,,False,0.7303370786516854,130,178,0.7303370786516854,130,178,8.054786253511235,104491.65503533756,0.0003512612825637331,0.0036100107571129096
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_translate_sp_eng_lower,True,,False,0.7359550561797753,131,178,0.7359550561797753,131,178,8.091401860955056,165009.1450571816,0.00032483482894331295,0.003369381802311023
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_translate_sp_eng_lower,True,,False,0.7303370786516854,130,178,0.7303370786516854,130,178,7.459094101123595,84921.11836169501,0.0006589212333557001,0.004575403189858754
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_translate_sp_eng_lower,True,,False,0.7303370786516854,130,178,0.7303370786516854,130,178,7.415050035112359,32243.156317346893,0.0008528758774330343,0.005441409761752784
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_translate_sp_eng_lower,True,,False,0.7640449438202247,136,178,0.7640449438202247,136,178,7.136389571629214,119020.51477636916,0.00109062085639726,0.006679834775152337
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_translate_sp_eng_lower,True,,False,0.7134831460674157,127,178,0.7134831460674157,127,178,7.313696014747191,35298.07454394447,0.0007806140142291417,0.005367263033519534
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_translate_sp_eng_lower,True,,False,0.7134831460674157,127,178,0.7134831460674157,127,178,7.408674947331461,44454.75851592781,0.0008256063099974381,0.005580907881208552
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_translate_sp_eng_lower,True,,False,0.7415730337078652,132,178,0.7415730337078652,132,178,7.533071453651686,204205.69698262005,0.000604653326704895,0.004095434135427696
allenai/OLMo-2-0425-1B,main,compositional_translate_sp_eng_lower,True,,False,0.8876404494382022,158,178,0.8876404494382022,158,178,8.004345154494382,218021.82891813572,0.0002778855342294919,0.0028431167892874333
