model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_eng_fr_upper,correct_translate_eng_fr_upper,total_translate_eng_fr_upper,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional:translate_eng_fr_upper,True,,False,0.0,0,10,0.0,0,10,11.62578125,627468.0002231029,1.1984691324075586e-07,2.4051004275818127e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional:translate_eng_fr_upper,True,,False,0.0,0,10,0.0,0,10,8.54296875,47400.0671190437,1.363789577813046e-06,0.000902886592291823
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional:translate_eng_fr_upper,True,,False,0.0,0,10,0.0,0,10,8.1546875,304810.2519768297,6.949795095062481e-07,0.001996627867517304
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional:translate_eng_fr_upper,True,,False,0.0,0,10,0.0,0,10,7.589453125,216369.39480219068,3.6224120010392037e-06,0.0031847764706102745
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional:translate_eng_fr_upper,True,,False,0.0,0,10,0.0,0,10,7.2546875,94753.9105503699,9.507951023959818e-06,0.0026009194107698237
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional:translate_eng_fr_upper,True,,False,0.1,1,10,0.1,1,10,7.341796875,53619.52938658259,5.7772918545139025e-06,0.0034538406977275304
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional:translate_eng_fr_upper,True,,False,0.0,0,10,0.0,0,10,7.463671875,131459.3631793955,3.72719822117302e-06,0.003226048154850559
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional:translate_eng_fr_upper,True,,False,0.0,0,10,0.0,0,10,7.2365234375,68134.68973523806,6.0869186999338406e-06,0.0035044219490818354
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional:translate_eng_fr_upper,True,,False,0.1,1,10,0.1,1,10,7.040234375,71893.1054774623,7.283477148273078e-06,0.003910973054184686
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional:translate_eng_fr_upper,True,,False,0.0,0,10,0.0,0,10,6.863671875,212045.25411449053,1.8924185521166474e-05,0.004208734301413973
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional:translate_eng_fr_upper,True,,False,0.1,1,10,0.1,1,10,7.11953125,292697.6075430747,8.963242800226297e-05,0.003743475060233468
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional:translate_eng_fr_upper,True,,False,0.1,1,10,0.1,1,10,6.9578125,420767.4887095626,0.00037243131585903137,0.004197730587709088
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional:translate_eng_fr_upper,True,,False,0.1,1,10,0.1,1,10,6.8859375,65540.55770398473,6.298323493444795e-06,0.004500559365660495
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional:translate_eng_fr_upper,True,,False,0.057803468208092484,10,173,0.057803468208092484,10,173,7.218072615606936,165192.79882038277,1.0604994295708016e-05,0.004989245323339268
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional:translate_eng_fr_upper,True,,False,0.03468208092485549,6,173,0.03468208092485549,6,173,7.299279714595376,248793.40052283733,1.4812333282205844e-05,0.004356408225888308
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional:translate_eng_fr_upper,True,,False,0.06936416184971098,12,173,0.06936416184971098,12,173,6.741927835982659,86945.73030304999,0.00013913918142545591,0.007601374694042975
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional:translate_eng_fr_upper,True,,False,0.04046242774566474,7,173,0.04046242774566474,7,173,6.768379696531792,48672.06533009664,3.440720332442759e-05,0.006624829529160468
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional:translate_eng_fr_upper,True,,False,0.057803468208092484,10,173,0.057803468208092484,10,173,7.184180816473988,93694.46455468542,2.8925963519968298e-05,0.0055514742762958055
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional:translate_eng_fr_upper,True,,False,0.03468208092485549,6,173,0.03468208092485549,6,173,6.688561235549133,266985.27750931546,5.406288860366423e-05,0.006216375181720264
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional:translate_eng_fr_upper,True,,False,0.046242774566473986,8,173,0.046242774566473986,8,173,6.873679100433526,183698.6542732347,3.242440225359876e-05,0.0064785766426912195
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional:translate_eng_fr_upper,True,,False,0.09826589595375723,17,173,0.09826589595375723,17,173,6.527456647398844,46151.9809324912,6.100584090368395e-05,0.006789874923828549
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional:translate_eng_fr_upper,True,,False,0.08092485549132948,14,173,0.08092485549132948,14,173,6.912075505780347,23160.251805657746,5.727254450214893e-05,0.004910406756879612
allenai/OLMo-2-0425-1B,main,compositional:translate_eng_fr_upper,True,,False,0.24277456647398843,42,173,0.24277456647398843,42,173,5.730886470375722,84665.56927838635,5.364334027760929e-05,0.014888211106894202
