model,checkpoint,compositional_translate_fr_eng_lower
allenai/OLMo-2-0425-1B,main,0.7719298245614035
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,0.06432748538011696
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,0.5847953216374269
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,0.6374269005847953
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,0.6783625730994152
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,0.6374269005847953
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,0.6432748538011696
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,0.3742690058479532
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,0.6374269005847953
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,0.6257309941520468
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,0.6608187134502924
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,0.0
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,0.42105263157894735
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,0.6549707602339181
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,0.6257309941520468
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,0.47953216374269003
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,0.6549707602339181
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,0.5087719298245614
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,0.6842105263157895
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,0.543859649122807
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,0.6023391812865497
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,0.6081871345029239
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,0.5847953216374269
