model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_eng_fr_last,correct_translate_eng_fr_last,total_translate_eng_fr_last,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_translate_eng_fr_last,True,,False,0.0,0,173,0.0,0,173,7.662549674855492,3080.908801399947,0.0006741778412242915,0.0006741778412242915
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_translate_eng_fr_last,True,,False,0.16184971098265896,28,173,0.16184971098265896,28,173,10.759212427745664,156221.38466556536,4.2640704883256986e-05,4.2640704883256986e-05
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_translate_eng_fr_last,True,,False,0.2138728323699422,37,173,0.2138728323699422,37,173,10.65473717485549,173199.23025247775,6.17279419727465e-05,6.17279419727465e-05
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_translate_eng_fr_last,True,,False,0.09826589595375723,17,173,0.09826589595375723,17,173,10.44569635115607,145415.12378652187,7.87107412975561e-05,7.87107412975561e-05
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_translate_eng_fr_last,True,,False,0.08092485549132948,14,173,0.08092485549132948,14,173,10.159117593930636,120623.80658484074,0.00010120025670992951,0.00010120025670992951
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_translate_eng_fr_last,True,,False,0.12716763005780346,22,173,0.12716763005780346,22,173,10.68284862716763,233547.84089916997,6.392350140056333e-05,6.392350140056333e-05
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_translate_eng_fr_last,True,,False,0.11560693641618497,20,173,0.11560693641618497,20,173,11.204570086705202,231995.7543250283,3.943016879636041e-05,3.943016879636041e-05
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_translate_eng_fr_last,True,,False,0.18497109826589594,32,173,0.18497109826589594,32,173,10.680793894508671,108603.96684237929,5.813587081972227e-05,5.813587081972227e-05
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_translate_eng_fr_last,True,,False,0.07514450867052024,13,173,0.07514450867052024,13,173,11.68208092485549,371938.49669928395,1.650415935514927e-05,1.650415935514927e-05
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_translate_eng_fr_last,True,,False,0.14450867052023122,25,173,0.14450867052023122,25,173,10.275356755780347,95489.56701692489,8.406433934482249e-05,8.406433934482249e-05
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_translate_eng_fr_last,True,,False,0.10982658959537572,19,173,0.10982658959537572,19,173,10.482207369942197,125208.85022087893,7.110428050719854e-05,7.110428050719854e-05
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_translate_eng_fr_last,True,,False,0.09248554913294797,16,173,0.09248554913294797,16,173,10.64100885115607,230795.40454808847,5.2144612981553273e-05,5.2144612981553273e-05
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_translate_eng_fr_last,True,,False,0.13872832369942195,24,173,0.13872832369942195,24,173,10.442557803468208,111261.75587134683,7.329698164404768e-05,7.329698164404768e-05
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_translate_eng_fr_last,True,,False,0.16184971098265896,28,173,0.16184971098265896,28,173,11.076115426300579,367943.9758238137,3.974263334188148e-05,3.974263334188148e-05
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_translate_eng_fr_last,True,,False,0.1676300578034682,29,173,0.1676300578034682,29,173,10.81028721098266,239860.33782031533,5.3151527781660254e-05,5.3151527781660254e-05
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_translate_eng_fr_last,True,,False,0.12716763005780346,22,173,0.12716763005780346,22,173,10.56900289017341,125184.03844912436,6.239867099113252e-05,6.239867099113252e-05
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_translate_eng_fr_last,True,,False,0.1676300578034682,29,173,0.1676300578034682,29,173,10.077537933526012,137313.42788979318,0.00011441702317671485,0.00011441702317671485
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_translate_eng_fr_last,True,,False,0.1676300578034682,29,173,0.1676300578034682,29,173,9.752867593930636,72577.23752566836,0.00016509961066455602,0.00016509961066455602
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_translate_eng_fr_last,True,,False,0.15028901734104047,26,173,0.15028901734104047,26,173,10.656679010115607,146816.60791115862,5.2265166336296125e-05,5.2265166336296125e-05
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_translate_eng_fr_last,True,,False,0.12138728323699421,21,173,0.12138728323699421,21,173,10.249503251445086,238385.95206451652,0.00015940836047022934,0.00015940836047022934
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_translate_eng_fr_last,True,,False,0.16184971098265896,28,173,0.16184971098265896,28,173,10.22694635115607,121959.96357781868,9.63376162395474e-05,9.63376162395474e-05
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_translate_eng_fr_last,True,,False,0.12138728323699421,21,173,0.12138728323699421,21,173,10.18359375,152406.53270054222,0.00014686194209688185,0.00014686194209688185
allenai/OLMo-2-0425-1B,main,compositional_translate_eng_fr_last,True,,False,0.08092485549132948,14,173,0.08092485549132948,14,173,10.951363800578035,168070.10710149485,4.657175378025976e-05,4.657175378025976e-05
