model,checkpoint,simple_icl:present_to_gerund
allenai/OLMo-2-0425-1B,main,0.9608938547486033
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,0.8268156424581006
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,0.9553072625698324
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,0.9664804469273743
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,0.9553072625698324
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,0.9664804469273743
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,0.9664804469273743
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,0.9050279329608939
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,0.9720670391061452
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,0.88268156424581
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,0.9162011173184358
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,0.0
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,0.9273743016759777
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,0.9385474860335196
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,0.8938547486033519
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,0.9385474860335196
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,0.9106145251396648
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,0.9162011173184358
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,0.8994413407821229
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,0.9497206703910615
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,0.9385474860335196
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,0.9050279329608939
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,0.9385474860335196
