model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_last_upper,correct_last_upper,total_last_upper,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional:last_upper,True,,False,0.0,0,36,0.0,0,36,8.106987847222221,3799.717743417583,0.0003562922253204273,0.0003562922253204273
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional:last_upper,True,,False,0.19444444444444445,7,36,0.19444444444444445,7,36,10.65603298611111,74482.46881122072,4.351384061602375e-05,4.351384061602375e-05
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional:last_upper,True,,False,0.1388888888888889,5,36,0.1388888888888889,5,36,10.472981770833334,75408.012789937,6.19624025927809e-05,6.19624025927809e-05
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional:last_upper,True,,False,0.1388888888888889,5,36,0.1388888888888889,5,36,10.623480902777779,112998.06808661066,5.8084601161169586e-05,5.8084601161169586e-05
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional:last_upper,True,,False,0.1388888888888889,5,36,0.1388888888888889,5,36,10.97189670138889,90261.59602584882,3.2576984592909124e-05,3.2576984592909124e-05
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional:last_upper,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.815972222222221,105779.23577243448,3.625078494095681e-05,3.625078494095681e-05
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional:last_upper,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,11.50954861111111,355536.0889240507,1.861338669977547e-05,1.861338669977547e-05
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional:last_upper,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.759440104166666,111050.25655198788,5.6029651152811116e-05,5.6029651152811116e-05
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional:last_upper,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,11.49685329861111,171928.9374381335,2.8984870390572773e-05,2.8984870390572773e-05
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional:last_upper,True,,False,0.1388888888888889,5,36,0.1388888888888889,5,36,9.768446180555555,28563.276733770726,8.464018506021386e-05,8.464018506021386e-05
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional:last_upper,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.446614583333334,101991.20178724475,6.096648824895996e-05,6.096648824895996e-05
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional:last_upper,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.38888888888889,66896.30525298085,5.68028715360571e-05,5.68028715360571e-05
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional:last_upper,True,,False,0.1388888888888889,5,36,0.1388888888888889,5,36,10.301649305555555,53293.000451103486,5.9650057548940724e-05,5.9650057548940724e-05
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional:last_upper,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,9.997612847222221,49078.86357448468,8.204812366307454e-05,8.204812366307454e-05
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional:last_upper,True,,False,0.05555555555555555,2,36,0.05555555555555555,2,36,10.774088541666666,119964.22113634806,4.8238346988299626e-05,4.8238346988299626e-05
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional:last_upper,True,,False,0.16666666666666666,6,36,0.16666666666666666,6,36,9.720703125,32417.901025272855,0.00013157717730244496,0.00013157717730244496
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional:last_upper,True,,False,0.05555555555555555,2,36,0.05555555555555555,2,36,10.103949652777779,107629.88539192938,8.22730287489057e-05,8.22730287489057e-05
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional:last_upper,True,,False,0.19444444444444445,7,36,0.19444444444444445,7,36,9.651692708333334,23529.887362089572,0.0001087547244589674,0.0001087547244589674
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional:last_upper,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.952690972222221,138885.1902651565,4.1347253254489986e-05,4.1347253254489986e-05
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional:last_upper,True,,False,0.05555555555555555,2,36,0.05555555555555555,2,36,10.895616319444445,211424.00106142773,5.4399873960796764e-05,5.4399873960796764e-05
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional:last_upper,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,10.610677083333334,66962.84559254153,4.5345008240324994e-05,4.5345008240324994e-05
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional:last_upper,True,,False,0.16666666666666666,6,36,0.16666666666666666,6,36,10.82107204861111,91269.33413728475,5.115657332566783e-05,5.115657332566783e-05
allenai/OLMo-2-0425-1B,main,compositional:last_upper,True,,False,0.05555555555555555,2,36,0.05555555555555555,2,36,10.341362847222221,53679.00160359005,6.838036308202134e-05,6.838036308202134e-05
