model,checkpoint,compositional_translate_fr_eng_last
allenai/OLMo-2-0425-1B,main,0.08187134502923976
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,0.08771929824561403
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,0.05263157894736842
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,0.04678362573099415
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,0.04678362573099415
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,0.06432748538011696
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,0.06432748538011696
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,0.06432748538011696
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,0.04678362573099415
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,0.05263157894736842
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,0.09941520467836257
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,0.0
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,0.05847953216374269
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,0.03508771929824561
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,0.04678362573099415
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,0.023391812865497075
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,0.06432748538011696
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,0.04678362573099415
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,0.04093567251461988
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,0.05847953216374269
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,0.04678362573099415
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,0.03508771929824561
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,0.04678362573099415
