model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_reverse_lower,correct_reverse_lower,total_reverse_lower,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,9.728841145833334,48905.44981503658,9.357949675060754e-08,0.00013549416604150395
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,9.55056423611111,71924.11817300128,6.987966835776913e-08,0.00022857244089432636
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,9.359809027777779,61339.614108346956,7.662455329966761e-08,0.00024699690385153033
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,9.469292534722221,61803.04719622167,1.223407476672899e-07,0.00022842352012331774
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,9.16330295138889,40996.79018693153,2.2225297978977487e-07,0.00031825517668145005
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,9.049913194444445,89439.40106160878,1.2240316323907475e-07,0.0004467181195539048
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,9.138563368055555,50922.51939354409,1.1160441024354478e-07,0.0003104806789324473
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,8.834092881944445,22027.653387661223,2.8946260395747346e-07,0.00045800968601235846
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,9.145616319444445,100955.00092195696,4.154951178477295e-08,0.000382361395510644
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,8.67361111111111,28983.856090758938,1.1632723363249486e-07,0.0006537200391841274
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,8.919813368055555,128662.01388592992,4.5628923774615366e-07,0.0004906027683344376
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,8.419487847222221,114517.62051670848,4.966824537326276e-07,0.0008458171284289447
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,9.077799479166666,128596.75141542514,4.480089855551849e-08,0.00034943553592316104
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,8.651801215277779,90853.57905396643,1.1601081955853937e-06,0.000721332888288779
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,8.675238715277779,63409.5037383657,2.2251145172848973e-07,0.0006314596536230811
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,9.11990017361111,136366.54865456332,5.995338920189187e-08,0.00042177583529392983
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,8.941514756944445,79136.04055583332,6.390677337057521e-08,0.0004499453566637302
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,8.571831597222221,20000.86129049871,4.4222000148410464e-07,0.0006482793286198296
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,8.745551215277779,44542.643739945765,1.137184963101076e-07,0.0005188013280906765
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,8.856119791666666,30186.741707834473,2.5980124188087073e-07,0.00045344869712171627
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,9.191514756944445,107914.36343123816,2.1837227824808442e-08,0.00046889174913244936
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,8.550672743055555,194734.7786660566,8.777231565449119e-08,0.0006459180414275069
allenai/OLMo-2-0425-1B,main,compositional:reverse_lower,True,,False,0.0,0,36,0.0,0,36,8.166124131944445,37244.89235001944,2.1564404653838926e-06,0.00119435898466749
