model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_gerund_upper_reverse,correct_gerund_upper_reverse,total_gerund_upper_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,11.232268258426966,125164.71280486719,1.545722186516492e-16,2.1171466987247924e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,6.290477966994382,901.4101522531283,4.338553617526668e-08,0.0030382517485039932
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.885127721207865,720.1912616934537,2.340070243974852e-07,0.005194749797675462
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.877018960674158,634.7881207976142,2.6932341197428278e-08,0.004472804316891328
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.855578476123595,594.7323040719504,7.57586133259526e-08,0.004554943966375984
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.918001667837078,646.3323716934607,3.467206347713853e-08,0.004256212024190906
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.685821190308989,644.3286390171928,2.1797790553655476e-07,0.005664419804689699
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.701599806882022,470.37522815131166,1.6058265528730092e-07,0.0049521071309784484
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,6.082634743679775,698.5105766631915,2.0309480047713495e-07,0.003691498832007675
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_gerund_upper_reverse,True,,False,0.0056179775280898875,1,178,0.0056179775280898875,1,178,5.673136850421348,575.1147754245318,1.9209408965504903e-06,0.006067967281231686
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.881627457865169,636.3779215855386,1.0071629017585343e-07,0.004281817797588202
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.962528528792135,661.1689236770989,1.5262941777957465e-07,0.004423229745325627
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,6.389736218398877,1359.941467798582,2.1883132872084166e-08,0.0032685578321070665
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.78832733497191,609.41426366273,5.003385099176622e-07,0.005363478013568498
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.917288448033708,670.277542585392,1.175337031763454e-07,0.00471877177657781
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.877348139044944,646.4726707728555,3.9667300464946263e-07,0.004412787440877058
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.87378204002809,656.1299365901614,4.506939135491572e-08,0.00464511097019248
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.88743196980337,568.3393076403677,3.1586973129967985e-07,0.00463909572409959
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,6.547083479634831,1410.0550561119803,6.284464858910325e-09,0.002544535191780241
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.687148876404494,552.7689840088412,4.8460417514064186e-08,0.005638874358260434
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,5.961058198735955,738.0244443124077,3.33007763000623e-08,0.004116328889306561
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_gerund_upper_reverse,True,,False,0.0,0,178,0.0,0,178,6.045316889044944,742.1933231334957,1.6217799885004345e-08,0.0037774555039312404
allenai/OLMo-2-0425-1B,main,compositional_gerund_upper_reverse,True,,False,0.0056179775280898875,1,178,0.0056179775280898875,1,178,5.492593486657303,416.94657265550785,5.106921143911611e-07,0.006687642849313787
