model,checkpoint,task,success,error,cached,accuracy,correct,total,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,token_reversal,True,,False,0.0,0,20,9.976953125,47445.77944205479,1.4246004345033067e-05,8.914461077175733e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,token_reversal,True,,False,0.45,9,20,6.6238525390625,18861.55060848201,0.03713322631758238,0.06374102162769965
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,token_reversal,True,,False,0.1,2,20,7.994677734375,46293.142826044044,0.03297260526403411,0.04026248192096215
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,token_reversal,True,,False,0.25,5,20,7.2742431640625,54071.53098883055,0.033929081689284865,0.04467964462604048
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,token_reversal,True,,False,0.25,5,20,7.153631591796875,23841.554559953354,0.06386618377290512,0.08044741744849859
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,token_reversal,True,,False,0.1,2,20,7.319061279296875,29431.928352862033,0.035153929369800455,0.04574894221968425
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,token_reversal,True,,False,0.15,3,20,7.471746826171875,22419.57961557035,0.03525638595538913,0.05106738776960211
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,token_reversal,True,,False,0.15,3,20,7.4650634765625,40251.07853575941,0.01552571966948805,0.0345729333310693
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,token_reversal,True,,False,0.1,2,20,7.521630859375,31882.925081721944,0.0017003741940452722,0.012326365639157639
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,token_reversal,True,,False,0.05,1,20,7.2886474609375,20246.708609250105,0.013515894892049112,0.02835295735528493
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,token_reversal,True,,False,0.1,2,20,7.08359375,18255.74904066386,0.015932687115937007,0.033510502687871785
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,token_reversal,True,,False,0.15,3,20,6.69637451171875,10448.677244307772,0.03134429362582295,0.03677013201872537
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,token_reversal,True,,False,0.35,7,20,6.234976196289063,10903.268219630752,0.047677025034195,0.05525756468952464
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,token_reversal,True,,False,0.1,2,20,7.13734130859375,22572.82023679754,0.05479380002621827,0.06878539001480824
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,token_reversal,True,,False,0.2,4,20,6.081488037109375,9972.569666156527,0.06046442432034148,0.0868054859023832
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,token_reversal,True,,False,0.05,1,20,7.40849609375,17952.028759444278,0.0045843334835083405,0.008762139927802422
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,token_reversal,True,,False,0.35,7,20,6.12601318359375,20157.659938163968,0.023056651011581726,0.052204724786208
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,token_reversal,True,,False,0.25,5,20,6.67626953125,14093.350105163758,0.011757631816195562,0.02325659436020014
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,token_reversal,True,,False,0.0,0,20,6.266259765625,8008.388303411198,0.022203858773350012,0.04077358190159569
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,token_reversal,True,,False,0.15,3,20,5.843035888671875,7323.166530914119,0.07612599881249504,0.09955789212617824
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,token_reversal,True,,False,0.15,3,20,5.941796875,6879.406802403353,0.018642166680716905,0.032511464651998
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,token_reversal,True,,False,0.1,2,20,5.807568359375,5490.082423289353,0.04627769349973575,0.06709794182052817
allenai/OLMo-2-0425-1B,main,token_reversal,True,,False,0.05,1,20,5.767431640625,3367.9713595889225,0.0130665039845833,0.03203167168447594
