model,checkpoint,compositional:translate_eng_sp_reverse
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,11.1484375
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,10.899609375
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,11.59609375
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,11.84765625
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,11.559375
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,10.75390625
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,11.025390625
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,11.204296875
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,11.3328125
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,11.6953125
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,11.43359375
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,11.80390625
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,10.92421875
