model,checkpoint,multistep_arithmetic
allenai/OLMo-2-0425-1B,main,13.7798828125
allenai/OLMo-2-0425-1B,stage1-step0-tokens0B,11.66328125
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,11.83984375
allenai/OLMo-2-0425-1B,stage1-step1000000-tokens2098B,12.00703125
allenai/OLMo-2-0425-1B,stage1-step1100000-tokens2307B,11.7779296875
allenai/OLMo-2-0425-1B,stage1-step1200000-tokens2517B,11.5689453125
allenai/OLMo-2-0425-1B,stage1-step1300000-tokens2727B,12.128125
allenai/OLMo-2-0425-1B,stage1-step1400000-tokens2937B,11.643359375
allenai/OLMo-2-0425-1B,stage1-step1500000-tokens3146B,12.215234375
allenai/OLMo-2-0425-1B,stage1-step1600000-tokens3356B,11.1017578125
allenai/OLMo-2-0425-1B,stage1-step1700000-tokens3566B,11.1228515625
allenai/OLMo-2-0425-1B,stage1-step1800000-tokens3775B,11.305859375
allenai/OLMo-2-0425-1B,stage1-step1900000-tokens3985B,11.1646484375
allenai/OLMo-2-0425-1B,stage1-step1907359-tokens4001B,11.5763671875
allenai/OLMo-2-0425-1B,stage1-step200000-tokens420B,10.63515625
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,10.1580078125
allenai/OLMo-2-0425-1B,stage1-step400000-tokens839B,11.8583984375
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,10.766015625
allenai/OLMo-2-0425-1B,stage1-step600000-tokens1259B,11.8650390625
allenai/OLMo-2-0425-1B,stage1-step700000-tokens1469B,12.290625
allenai/OLMo-2-0425-1B,stage1-step800000-tokens1678B,11.115234375
allenai/OLMo-2-0425-1B,stage1-step900000-tokens1888B,12.50546875
