model,checkpoint,compositional:plural_upper
allenai/OLMo-2-0425-1B,main,4.543359375
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,5.0125
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,4.424609375
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,4.5591796875
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,4.55
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,4.4146484375
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,4.919140625
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,4.827734375
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,4.4021484375
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,4.252734375
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,3.9859375
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,11.0359375
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,4.615234375
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,4.363671875
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,4.026171875
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,4.578515625
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,4.2734375
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,4.6841796875
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,4.4921875
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,4.050390625
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,4.3474609375
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,4.76015625
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,4.3025390625
