model,checkpoint,copying
allenai/OLMo-2-0425-1B,main,3.213612461090088
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,2.133682441711426
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,2.3609076023101805
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,2.3261873960494994
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,2.352662992477417
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,2.4359718322753907
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,2.442461395263672
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,2.144661712646484
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,2.5679667472839354
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,2.38187575340271
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,2.3480249404907227
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,9.2525390625
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,2.315999221801758
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,2.638968849182129
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,2.488577699661255
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,2.381052017211914
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,2.5938504219055174
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,2.520175552368164
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,2.498749256134033
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,2.483052062988281
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,2.3377984046936033
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,2.6548579692840577
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,2.1946170806884764
