model,checkpoint,compositional_gerund_lower
allenai/OLMo-2-0425-1B,main,5.212012816011236
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,4.928140361657303
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,4.404088395365169
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,4.899326281601123
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,4.613555565308989
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,4.784640537219101
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,4.896144224016854
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,3.949899051966292
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,5.034887420997191
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,4.809043627106742
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,4.709137991573034
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,10.959423279494382
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,3.9892715282654496
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,4.814409234550562
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,4.523799596207865
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,3.8400247981039324
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,4.43284212605337
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,4.349093662219101
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,4.772960191362359
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,4.139725245786517
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,4.408170207162922
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,4.629723709620786
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,4.661291915379214
