model,checkpoint,simple
allenai/OLMo-2-0425-1B,main,0.24029451137884872
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,0.09036144578313253
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,0.18206157965194109
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,0.1934404283801874
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,0.21352074966532797
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,0.22356091030789826
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,0.22757697456492637
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,0.09437751004016064
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,0.19879518072289157
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,0.20214190093708165
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,0.18674698795180722
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,0.0
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,0.13319946452476572
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,0.21352074966532797
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,0.20950468540829986
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,0.16733601070950468
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,0.22021419009370816
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,0.16131191432396252
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,0.19076305220883535
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,0.19812583668005354
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,0.1680053547523427
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,0.18206157965194109
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,0.1813922356091031
