model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_CV1,correct_CV1,total_CV1,accuracy_CV2,correct_CV2,total_CV2,accuracy_CV3,correct_CV3,total_CV3,accuracy_FA1,correct_FA1,total_FA1,accuracy_FA2,correct_FA2,total_FA2,accuracy_I1,correct_I1,total_I1,accuracy_I2,correct_I2,total_I2,accuracy_MA2,correct_MA2,total_MA2,accuracy_MA3,correct_MA3,total_MA3,accuracy_RG1,correct_RG1,total_RG1,accuracy_RG2,correct_RG2,total_RG2,accuracy_RG3,correct_RG3,total_RG3,accuracy_RL1,correct_RL1,total_RL1,accuracy_RL3,correct_RL3,total_RL3,accuracy_RL4,correct_RL4,total_RL4,accuracy_V1,correct_V1,total_V1,accuracy_V2,correct_V2,total_V2,accuracy_V3,correct_V3,total_V3,accuracy_V4,correct_V4,total_V4,accuracy_V5,correct_V5,total_V5,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,7.3622110445205475,90099.55123800915,0.008726560573698668,0.008731353731175864
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,8.773869404354208,204993.371192678,0.00032461870719866686,0.001957447846750273
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,8.311854054549903,736198.208152951,0.0019858199021845456,0.004059033737695287
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,8.968176675636007,807540.4964278389,0.0006150387782760529,0.003253327808782008
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,8.439881207191782,614120.5606120976,0.001106631217024671,0.0038944019332878615
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,9.400474712573386,701306.4768118872,0.000493100430414415,0.003590610969464403
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,11.24636512353229,2051981.1546375968,0.0005924194984282634,0.003821796198581975
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,8.673486041462818,489467.5150587863,0.0007580317078397771,0.004369292487455742
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,8.05469896648728,1027193.8897147697,0.0030291780766629316,0.005969127445416057
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,textfrct,True,,False,0.0,0,616,0.0,0,50,0.0,0,40,0.0,0,36,0.0,0,8,0.0,0,8,0.0,0,30,0.0,0,28,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,30,0.0,0,20,0.0,0,24,0.0,0,36,0.0,0,36,0.0,0,48,0.0,0,36,0.0,0,36,8.401114924779844,1433798.0368133318,0.0015188015423303375,0.004802294639053104
