model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_singular_to_plural,correct_singular_to_plural,total_singular_to_plural,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,simple_icl_singular_to_plural,True,,False,0.0,0,165,0.0,0,165,10.930634469696969,187791.19375576396,2.0680947987438793e-06,4.721946804902664e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,simple_icl_singular_to_plural,True,,False,0.8363636363636363,138,165,0.8363636363636363,138,165,5.028989109848485,1033.196292063951,0.0010822249767524063,0.016708232944973853
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,simple_icl_singular_to_plural,True,,False,0.8909090909090909,147,165,0.8909090909090909,147,165,4.770584753787879,804.96740270811,0.001584495191141411,0.021924510671121906
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,simple_icl_singular_to_plural,True,,False,0.9030303030303031,149,165,0.9030303030303031,149,165,4.784546638257575,1233.929933282819,0.0015239890765219443,0.021502933895845885
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,simple_icl_singular_to_plural,True,,False,0.9212121212121213,152,165,0.9212121212121213,152,165,5.090867660984848,1123.0072685241682,0.001048808250388357,0.01840863319437483
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,simple_icl_singular_to_plural,True,,False,0.9030303030303031,149,165,0.9030303030303031,149,165,5.641145833333334,3240.038506967237,0.00036666182170664766,0.011936476668284974
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,simple_icl_singular_to_plural,True,,False,0.9212121212121213,152,165,0.9212121212121213,152,165,5.359724195075757,2269.6230882385526,0.0005858196832372441,0.0156560210369084
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,simple_icl_singular_to_plural,True,,False,0.8848484848484849,146,165,0.8848484848484849,146,165,5.317814867424242,1961.9952381938551,0.0004337521670164571,0.014865886143433845
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,simple_icl_singular_to_plural,True,,False,0.8909090909090909,147,165,0.8909090909090909,147,165,5.641962594696969,2667.1634612574953,0.0002965809852766678,0.011675378648828151
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,simple_icl_singular_to_plural,True,,False,0.9272727272727272,153,165,0.9272727272727272,153,165,5.367223011363636,1791.588254182905,0.00036821713204091905,0.013905089149866786
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,simple_icl_singular_to_plural,True,,False,0.9212121212121213,152,165,0.9212121212121213,152,165,5.146176609848485,1285.9988585609628,0.0004933878726809406,0.016561817398606758
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,simple_icl_singular_to_plural,True,,False,0.9454545454545454,156,165,0.9454545454545454,156,165,5.692530776515151,2709.925072232675,0.0002281940458080155,0.010459717046560327
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,simple_icl_singular_to_plural,True,,False,0.9212121212121213,152,165,0.9212121212121213,152,165,5.551361268939394,3250.3740864182223,0.000339627873376441,0.01203083653254739
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,simple_icl_singular_to_plural,True,,False,0.9515151515151515,157,165,0.9515151515151515,157,165,5.459031723484848,2017.6639353328692,0.00038327952629941945,0.012681304576955908
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,simple_icl_singular_to_plural,True,,False,0.9212121212121213,152,165,0.9212121212121213,152,165,5.666323390151515,2852.159789697794,0.00029255906207923,0.011047797668365115
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,simple_icl_singular_to_plural,True,,False,0.9212121212121213,152,165,0.9212121212121213,152,165,5.9095525568181815,5915.5520531429065,0.00015194539125454735,0.01015907276936045
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,simple_icl_singular_to_plural,True,,False,0.9393939393939394,155,165,0.9393939393939394,155,165,5.7580847537878785,4172.805731475851,0.00023614547983928153,0.011697457485752932
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,simple_icl_singular_to_plural,True,,False,0.9393939393939394,155,165,0.9393939393939394,155,165,5.5625591856060606,2499.4612022492574,0.00039241825620398675,0.012648816125914016
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,simple_icl_singular_to_plural,True,,False,0.9636363636363636,159,165,0.9636363636363636,159,165,5.73967803030303,2934.933922659204,0.00021283436153524547,0.011137578820171204
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,simple_icl_singular_to_plural,True,,False,0.9454545454545454,156,165,0.9454545454545454,156,165,5.436091382575758,1488.5476281729984,0.0003760945013163061,0.0124420423059426
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,simple_icl_singular_to_plural,True,,False,0.9393939393939394,155,165,0.9393939393939394,155,165,5.7811908143939394,3550.9290380642638,0.00021107711949003017,0.010658462213774159
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,simple_icl_singular_to_plural,True,,False,0.9272727272727272,153,165,0.9272727272727272,153,165,5.579462594696969,5384.150876096964,0.00025607844615454346,0.012264946072355138
allenai/OLMo-2-0425-1B,main,simple_icl_singular_to_plural,True,,False,0.9454545454545454,156,165,0.9454545454545454,156,165,6.141927083333333,4587.6365240356345,0.00010079287744197618,0.0081793287796341
