model,checkpoint,compositional_translate_sp_eng_lower
allenai/OLMo-2-0425-1B,main,8.004345154494382
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,11.771769662921349
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,7.73120391502809
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,7.788239554073034
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,7.742121664325842
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,7.957546962780899
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,8.054786253511235
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,9.454397823033707
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,8.091401860955056
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,7.459094101123595
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,7.415050035112359
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,11.715458216292134
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,9.122640888342696
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,7.136389571629214
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,7.313696014747191
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,9.006451896067416
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,7.408674947331461
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,8.97655152738764
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,7.533071453651686
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,8.52857268258427
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,7.958150456460674
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,8.46044373244382
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,7.670305916432584
