model,checkpoint,compositional:gerund_last
allenai/OLMo-2-0425-1B,main,7.8234375
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,7.622265625
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,7.8078125
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,8.8375
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,8.080078125
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,7.365234375
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,8.523828125
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,8.078125
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,8.3078125
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,9.390625
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,7.72890625
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,8.85390625
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,6.9984375
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,8.64453125
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,8.46875
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,6.846484375
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,8.198828125
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,8.24765625
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,7.496875
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,7.819140625
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,7.76796875
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,8.50625
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,7.787109375
