model,checkpoint,simple_icl_country_to_currency
allenai/OLMo-2-0425-1B,main,5.518702651515151
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,6.671914457070707
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,5.343069365530303
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,5.754448784722222
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,5.939630681818182
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,5.971028645833333
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,6.225260416666667
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,6.092842487373737
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,5.34536773989899
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,5.660649463383838
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,5.636432686237374
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,11.296796085858587
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,6.126844618055555
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,5.351735124684343
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,5.244071575126263
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,6.222498421717172
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,5.512552280618687
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,6.52804411300505
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,5.644945549242424
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,5.906753077651516
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,5.75161773989899
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,6.0127051767676765
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,5.405401672979798
