model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_plural_lower,correct_plural_lower,total_plural_lower,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_plural_lower,True,,False,0.0,0,165,0.0,0,165,11.25279356060606,280709.71398229495,1.4214783602431155e-06,3.717518758992121e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_plural_lower,True,,False,0.6727272727272727,111,165,0.6727272727272727,111,165,5.2782670454545455,2068.5251352610576,0.0008061564807096262,0.01531024905858514
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_plural_lower,True,,False,0.8484848484848485,140,165,0.8484848484848485,140,165,4.740932765151515,1081.98037033572,0.0014674629330731076,0.02185410460215941
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_plural_lower,True,,False,0.896969696969697,148,165,0.896969696969697,148,165,4.914459043560606,3118.38773655238,0.0012538478684365013,0.02029386454704852
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_plural_lower,True,,False,0.9090909090909091,150,165,0.9090909090909091,150,165,5.051207386363636,1047.5703469371024,0.000883891124442027,0.018907318856482856
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_plural_lower,True,,False,0.9212121212121213,152,165,0.9212121212121213,152,165,5.251751893939394,3390.0283365064915,0.0006705901868588682,0.015271390715339488
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_plural_lower,True,,False,0.9393939393939394,155,165,0.9393939393939394,155,165,5.078740530303031,3877.5483337227092,0.0006878679598790056,0.018869197032210544
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_plural_lower,True,,False,0.9212121212121213,152,165,0.9212121212121213,152,165,5.0216500946969695,1724.5011433303364,0.0005988184112555708,0.017975505152749028
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_plural_lower,True,,False,0.9212121212121213,152,165,0.9212121212121213,152,165,5.351148200757576,1761.240393952668,0.0004386151862107519,0.015105638351644145
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_plural_lower,True,,False,0.9393939393939394,155,165,0.9393939393939394,155,165,5.055616714015152,1602.6078086565203,0.0005529590271464457,0.01696064555001297
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_plural_lower,True,,False,0.9333333333333333,154,165,0.9333333333333333,154,165,4.964607007575758,881.859375945136,0.0007085606834047407,0.01910372202707684
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_plural_lower,True,,False,0.9212121212121213,152,165,0.9212121212121213,152,165,5.2846709280303035,1333.6039186549626,0.00039186788861654066,0.012923298634971093
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_plural_lower,True,,False,0.9090909090909091,150,165,0.9090909090909091,150,165,5.259635416666667,1844.166063505349,0.00047822997349143193,0.014635006548984962
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_plural_lower,True,,False,0.9333333333333333,154,165,0.9333333333333333,154,165,5.326455965909091,1539.7756169928655,0.00042198493126175844,0.01318136125504186
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_plural_lower,True,,False,0.9212121212121213,152,165,0.9212121212121213,152,165,5.442885890151516,1996.2583994487977,0.00038923446628007767,0.013650120399841233
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_plural_lower,True,,False,0.9393939393939394,155,165,0.9393939393939394,155,165,5.552201704545454,3455.5132217512755,0.00024438125603267136,0.01304038425694218
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_plural_lower,True,,False,0.9151515151515152,151,165,0.9151515151515152,151,165,5.423875473484848,2132.822455208918,0.0003322559706601227,0.014198976896733476
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_plural_lower,True,,False,0.9575757575757575,158,165,0.9575757575757575,158,165,5.23049834280303,1892.4670169753517,0.0006386857455196745,0.01664839077718653
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_plural_lower,True,,False,0.9575757575757575,158,165,0.9575757575757575,158,165,5.264109848484848,1411.3335241584123,0.0004266785566706695,0.014785160641788947
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_plural_lower,True,,False,0.9333333333333333,154,165,0.9333333333333333,154,165,5.118525094696969,948.0977400370681,0.000586564320265166,0.017378277706251284
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_plural_lower,True,,False,0.9575757575757575,158,165,0.9575757575757575,158,165,5.428136837121212,2717.9224977515705,0.00035078422248457333,0.014389493319718403
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_plural_lower,True,,False,0.9454545454545454,156,165,0.9454545454545454,156,165,5.532078598484849,3474.0064361789746,0.00026618414673708595,0.012676633843045399
allenai/OLMo-2-0425-1B,main,compositional_plural_lower,True,,False,0.9757575757575757,161,165,0.9757575757575757,161,165,5.862002840909091,3338.9045145675873,0.00022824609992061614,0.010694276623298322
