model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_translate_fr_eng_lower,correct_translate_fr_eng_lower,total_translate_fr_eng_lower,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_translate_fr_eng_lower,True,,False,0.0,0,171,0.0,0,171,11.717059576023392,345180.0333334337,1.394214269780188e-05,3.079142439685992e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_translate_fr_eng_lower,True,,False,0.06432748538011696,11,171,0.06432748538011696,11,171,11.862515990497077,2136387.2443916127,1.340757595251105e-05,0.0007349142564422632
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_translate_fr_eng_lower,True,,False,0.3742690058479532,64,171,0.3742690058479532,64,171,9.486602247807017,654976.4363212188,0.00025206499085832093,0.0026854594469997778
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_translate_fr_eng_lower,True,,False,0.42105263157894735,72,171,0.42105263157894735,72,171,9.483621162280702,11572457.329231648,0.00021820978142234802,0.0020710252773380924
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_translate_fr_eng_lower,True,,False,0.47953216374269003,82,171,0.47953216374269003,82,171,9.335629111842104,1841153.3171531241,0.00021389795007799688,0.0025609122365202307
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_translate_fr_eng_lower,True,,False,0.5087719298245614,87,171,0.5087719298245614,87,171,9.465711805555555,3370599.2347384184,0.00014496684725070344,0.0018990083455141782
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_translate_fr_eng_lower,True,,False,0.543859649122807,93,171,0.543859649122807,93,171,9.02445403874269,1379232.4648456722,0.00020922393085646916,0.002259729161748741
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_translate_fr_eng_lower,True,,False,0.6023391812865497,103,171,0.6023391812865497,103,171,8.490040204678362,423581.9647232505,0.00039350253917320267,0.003051277004011638
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_translate_fr_eng_lower,True,,False,0.6081871345029239,104,171,0.6081871345029239,104,171,8.995305646929825,413606.4168819185,0.000333842749289004,0.0032831674098527403
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_translate_fr_eng_lower,True,,False,0.5847953216374269,100,171,0.5847953216374269,100,171,8.518823099415204,336730.33086574933,0.00030462628308716895,0.0029931005751048013
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_translate_fr_eng_lower,True,,False,0.5847953216374269,100,171,0.5847953216374269,100,171,8.455169499269006,744454.4238807074,0.0005097016327119189,0.003684494754335585
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_translate_fr_eng_lower,True,,False,0.6374269005847953,109,171,0.6374269005847953,109,171,8.372213084795321,848871.9485219199,0.00039202706485496247,0.002929953143794606
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_translate_fr_eng_lower,True,,False,0.6783625730994152,116,171,0.6783625730994152,116,171,8.367050438596491,1321660.2689351928,0.00032864409871649695,0.0029729020492660165
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_translate_fr_eng_lower,True,,False,0.6374269005847953,109,171,0.6374269005847953,109,171,8.802882858187134,3501393.9886045353,0.00026962651351576823,0.002895120008675421
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_translate_fr_eng_lower,True,,False,0.6432748538011696,110,171,0.6432748538011696,110,171,8.775013706140351,2760713.9990437496,0.0002658352578593449,0.0027948519578007043
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_translate_fr_eng_lower,True,,False,0.6374269005847953,109,171,0.6374269005847953,109,171,8.724735014619883,930204.6304153975,0.00026137750826783453,0.0027422881034261082
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_translate_fr_eng_lower,True,,False,0.6257309941520468,107,171,0.6257309941520468,107,171,8.38626187865497,6249912.068618455,0.0004611307890779843,0.0037602575286458436
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_translate_fr_eng_lower,True,,False,0.6608187134502924,113,171,0.6608187134502924,113,171,8.006533260233919,139398.3792073948,0.0006210393271307298,0.004435645951845651
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_translate_fr_eng_lower,True,,False,0.6549707602339181,112,171,0.6549707602339181,112,171,8.018309119152047,997788.173877456,0.0006814290363296398,0.0048016916641851135
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_translate_fr_eng_lower,True,,False,0.6257309941520468,107,171,0.6257309941520468,107,171,8.178865131578947,708421.4260593663,0.0006459145162076779,0.005553395149988186
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_translate_fr_eng_lower,True,,False,0.6549707602339181,112,171,0.6549707602339181,112,171,8.202999360380117,419976.3141096436,0.0005174330430625742,0.004244721890735203
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_translate_fr_eng_lower,True,,False,0.6842105263157895,117,171,0.6842105263157895,117,171,8.152937682748538,469903.6480565594,0.0007528189407853249,0.004592147802113626
allenai/OLMo-2-0425-1B,main,compositional_translate_fr_eng_lower,True,,False,0.7719298245614035,132,171,0.7719298245614035,132,171,8.674833241959064,2934886.5814378397,0.00019936554714163334,0.00266495582984785
