model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_reverse_first,correct_reverse_first,total_reverse_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional:reverse_first,True,,False,0.0,0,36,0.0,0,36,7.697374131944445,3295.026499569463,0.0006960386017776186,0.0006960386017776186
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional:reverse_first,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,10.714192708333334,127361.37045594858,7.887451853335802e-05,7.887451853335802e-05
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional:reverse_first,True,,False,0.1388888888888889,5,36,0.1388888888888889,5,36,10.68967013888889,99088.07136512539,5.464655270573387e-05,5.464655270573387e-05
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional:reverse_first,True,,False,0.027777777777777776,1,36,0.027777777777777776,1,36,11.254774305555555,172862.96502841625,2.428749910474212e-05,2.428749910474212e-05
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional:reverse_first,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,10.253472222222221,45666.38558046764,6.290091112362549e-05,6.290091112362549e-05
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional:reverse_first,True,,False,0.1388888888888889,5,36,0.1388888888888889,5,36,10.79275173611111,144655.0459351179,5.188590708331008e-05,5.188590708331008e-05
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional:reverse_first,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,10.976996527777779,98255.58880754182,3.373780413602481e-05,3.373780413602481e-05
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional:reverse_first,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.576605902777779,78950.93751068944,6.512746959334174e-05,6.512746959334174e-05
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional:reverse_first,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,11.259331597222221,252688.32599534042,2.5868036690495877e-05,2.5868036690495877e-05
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional:reverse_first,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,10.055230034722221,50601.45687594788,8.749993278985737e-05,8.749993278985737e-05
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional:reverse_first,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.355794270833334,80645.31913787675,8.839596541162932e-05,8.839596541162932e-05
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional:reverse_first,True,,False,0.05555555555555555,2,36,0.05555555555555555,2,36,9.9765625,53530.64893405908,9.800410102501009e-05,9.800410102501009e-05
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional:reverse_first,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.253038194444445,63649.8917455861,7.505236056223774e-05,7.505236056223774e-05
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional:reverse_first,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.63693576388889,102689.48647155754,5.2897040870964516e-05,5.2897040870964516e-05
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional:reverse_first,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,10.441297743055555,98390.41435684223,6.898804293252247e-05,6.898804293252247e-05
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional:reverse_first,True,,False,0.08333333333333333,3,36,0.08333333333333333,3,36,10.365342881944445,55081.92133171545,6.101835612792284e-05,6.101835612792284e-05
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional:reverse_first,True,,False,0.05555555555555555,2,36,0.05555555555555555,2,36,10.04861111111111,57081.3957852921,8.045457461110775e-05,8.045457461110775e-05
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional:reverse_first,True,,False,0.027777777777777776,1,36,0.027777777777777776,1,36,9.74978298611111,29293.537534100626,0.0001165196284802394,0.0001165196284802394
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional:reverse_first,True,,False,0.027777777777777776,1,36,0.027777777777777776,1,36,10.280598958333334,49864.19938704801,5.684200487401127e-05,5.684200487401127e-05
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional:reverse_first,True,,False,0.05555555555555555,2,36,0.05555555555555555,2,36,10.660264756944445,119116.11912050527,6.92509622871713e-05,6.92509622871713e-05
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional:reverse_first,True,,False,0.1111111111111111,4,36,0.1111111111111111,4,36,9.951822916666666,32615.598198890835,7.412370981925937e-05,7.412370981925937e-05
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional:reverse_first,True,,False,0.027777777777777776,1,36,0.027777777777777776,1,36,10.94900173611111,123165.38499106275,3.060818732690848e-05,3.060818732690848e-05
allenai/OLMo-2-0425-1B,main,compositional:reverse_first,True,,False,0.16666666666666666,6,36,0.16666666666666666,6,36,9.886067708333334,47873.00983852036,0.00015346633140457107,0.00015346633140457107
