model,checkpoint,compositional_translate_sp_eng_last
allenai/OLMo-2-0425-1B,main,10.955714536516854
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,10.433900983146067
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,10.821321980337078
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,10.511674859550562
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,11.119052844101123
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,11.517292837078651
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,10.79637025983146
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,11.148305828651685
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,10.795821629213483
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,10.416410639044944
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,10.269640976123595
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,7.676615168539326
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,11.252874824438202
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,11.16384304775281
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,10.884480337078651
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,10.82518433988764
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,10.670338834269662
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,11.561622191011235
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,10.583962429775282
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,12.043275983146067
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,11.587956460674157
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,12.050517907303371
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,10.999648876404494
