model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_upper_first,correct_upper_first,total_upper_first,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional:upper_first,True,,False,0.0,0,36,0.0,0,36,7.986328125,3421.1321297658596,0.0004007566882453846,0.0004007566882453846
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional:upper_first,True,,False,0.6666666666666666,24,36,0.6666666666666666,24,36,9.489149305555555,20719.36698133474,0.00011737620749753086,0.00011737620749753086
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional:upper_first,True,,False,0.8333333333333334,30,36,0.8333333333333334,30,36,8.234049479166666,6904.416258519832,0.00043557586803124785,0.00043557586803124785
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional:upper_first,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,7.244140625,1953.3423868154282,0.0009158264913495762,0.0009158264913495762
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional:upper_first,True,,False,0.8888888888888888,32,36,0.8888888888888888,32,36,8.21560329861111,13683.787918243912,0.0003817928111319346,0.0003817928111319346
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional:upper_first,True,,False,1.0,36,36,1.0,36,36,7.906032986111111,3249.6955472402715,0.0004197635328867718,0.0004197635328867718
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional:upper_first,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,7.906032986111111,3557.363423758037,0.0005062039118182944,0.0005062039118182944
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional:upper_first,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,7.872504340277778,3578.742485338373,0.00047534653697266064,0.00047534653697266064
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional:upper_first,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,8.53982204861111,6143.015544930499,0.00023402067657113135,0.00023402067657113135
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional:upper_first,True,,False,1.0,36,36,1.0,36,36,7.438368055555555,2028.8064724556773,0.0007240570470304012,0.0007240570470304012
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional:upper_first,True,,False,0.9166666666666666,33,36,0.9166666666666666,33,36,7.076388888888889,2420.8510702037893,0.001241087216046068,0.001241087216046068
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional:upper_first,True,,False,1.0,36,36,1.0,36,36,7.132486979166667,1522.5521877288106,0.0010129953178097694,0.0010129953178097694
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional:upper_first,True,,False,0.9722222222222222,35,36,0.9722222222222222,35,36,7.180121527777778,1622.2553468039798,0.000931413910795561,0.000931413910795561
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional:upper_first,True,,False,1.0,36,36,1.0,36,36,7.337999131944445,1816.2862771342466,0.0007843767359521304,0.0007843767359521304
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional:upper_first,True,,False,1.0,36,36,1.0,36,36,7.5166015625,2240.708508923618,0.0006575734852726106,0.0006575734852726106
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional:upper_first,True,,False,1.0,36,36,1.0,36,36,6.9990234375,1409.8899292124254,0.0011794970598854129,0.0011794970598854129
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional:upper_first,True,,False,0.9166666666666666,33,36,0.9166666666666666,33,36,7.5107421875,2779.7376465531293,0.0007534792771798786,0.0007534792771798786
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional:upper_first,True,,False,1.0,36,36,1.0,36,36,6.554796006944445,886.5668443544861,0.001803668855040665,0.001803668855040665
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional:upper_first,True,,False,1.0,36,36,1.0,36,36,7.291883680555555,1796.5695310110236,0.000839807649208492,0.000839807649208492
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional:upper_first,True,,False,1.0,36,36,1.0,36,36,6.767469618055555,1426.1393569420686,0.00171885507955714,0.00171885507955714
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional:upper_first,True,,False,0.9444444444444444,34,36,0.9444444444444444,34,36,7.217664930555555,1796.6596746253397,0.0011062084381986796,0.0011062084381986796
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional:upper_first,True,,False,1.0,36,36,1.0,36,36,7.533311631944445,2354.005305893633,0.0006925302319959925,0.0006925302319959925
allenai/OLMo-2-0425-1B,main,compositional:upper_first,True,,False,1.0,36,36,1.0,36,36,7.546657986111111,2773.9737361398597,0.0007824259351513307,0.0007824259351513307
