model,checkpoint,compositional_plural_reverse_first
allenai/OLMo-2-0425-1B,main,0.7757575757575758
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,0.896969696969697
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,0.9030303030303031
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,0.8181818181818182
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,0.8545454545454545
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,0.8909090909090909
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,0.8363636363636363
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,0.8606060606060606
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,0.8242424242424242
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,0.8666666666666667
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,0.8606060606060606
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,0.0
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,0.8545454545454545
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,0.8121212121212121
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,0.8242424242424242
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,0.8181818181818182
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,0.8181818181818182
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,0.793939393939394
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,0.8848484848484849
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,0.8181818181818182
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,0.8181818181818182
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,0.8303030303030303
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,0.7515151515151515
