model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_country_to_currency,correct_country_to_currency,total_country_to_currency,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,simple_icl_country_to_currency,True,,False,0.0,0,198,0.0,0,198,11.296796085858587,528652.0255532694,1.7572518750808862e-07,3.86888327461901e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,simple_icl_country_to_currency,True,,False,0.25252525252525254,50,198,0.25252525252525254,50,198,6.671914457070707,109920.15968315768,8.522637114018368e-05,0.007076881295721344
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,simple_icl_country_to_currency,True,,False,0.22727272727272727,45,198,0.22727272727272727,45,198,6.092842487373737,34897.12720296076,0.00010096935219668565,0.011704472717352353
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,simple_icl_country_to_currency,True,,False,0.29292929292929293,58,198,0.29292929292929293,58,198,6.126844618055555,83309.43638976598,8.886892597503046e-05,0.011314072607920373
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,simple_icl_country_to_currency,True,,False,0.2828282828282828,56,198,0.2828282828282828,56,198,6.222498421717172,51975.286192619984,6.298223288757862e-05,0.009707372468687053
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,simple_icl_country_to_currency,True,,False,0.25252525252525254,50,198,0.25252525252525254,50,198,6.52804411300505,39305.64727834546,4.516780069785697e-05,0.007995856409466035
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,simple_icl_country_to_currency,True,,False,0.31313131313131315,62,198,0.31313131313131315,62,198,5.906753077651516,52634.43829565347,0.0001256672609981509,0.010399394832396923
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,simple_icl_country_to_currency,True,,False,0.398989898989899,79,198,0.398989898989899,79,198,5.75161773989899,25346.49797004789,0.00010937013212742752,0.010307986809834632
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,simple_icl_country_to_currency,True,,False,0.2828282828282828,56,198,0.2828282828282828,56,198,6.0127051767676765,13239.556581171004,0.00011547050308680987,0.008905402207092386
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,simple_icl_country_to_currency,True,,False,0.35858585858585856,71,198,0.35858585858585856,71,198,5.405401672979798,12235.643123433894,0.00027358268668522363,0.01554297423161161
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,simple_icl_country_to_currency,True,,False,0.3383838383838384,67,198,0.3383838383838384,67,198,5.343069365530303,5002.207698070722,0.0005610943322535546,0.013104293624611811
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,simple_icl_country_to_currency,True,,False,0.29797979797979796,59,198,0.29797979797979796,59,198,5.754448784722222,11044.423868956255,0.00019014215191191281,0.012350412554271424
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,simple_icl_country_to_currency,True,,False,0.3484848484848485,69,198,0.3484848484848485,69,198,5.939630681818182,26734.031062775735,0.00011067618536459505,0.009206379173672974
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,simple_icl_country_to_currency,True,,False,0.398989898989899,79,198,0.398989898989899,79,198,5.971028645833333,11212.345074846835,9.165129229646644e-05,0.010168948858226742
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,simple_icl_country_to_currency,True,,False,0.46464646464646464,92,198,0.46464646464646464,92,198,6.225260416666667,19380.42046448743,6.16119708357308e-05,0.009255441229483264
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,simple_icl_country_to_currency,True,,False,0.5,99,198,0.5,99,198,5.34536773989899,8732.206869803797,0.00028568250277457766,0.014854616533583866
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,simple_icl_country_to_currency,True,,False,0.398989898989899,79,198,0.398989898989899,79,198,5.660649463383838,11425.248088815275,0.00014377766003045113,0.013196059405377405
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,simple_icl_country_to_currency,True,,False,0.4595959595959596,91,198,0.4595959595959596,91,198,5.636432686237374,31501.974668772076,0.00019829621444457737,0.012844447535753124
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,simple_icl_country_to_currency,True,,False,0.47474747474747475,94,198,0.47474747474747475,94,198,5.351735124684343,3533.775601283754,0.00022987130255862362,0.01587825343993737
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,simple_icl_country_to_currency,True,,False,0.41414141414141414,82,198,0.41414141414141414,82,198,5.244071575126263,21743.824133543552,0.0003422525355622231,0.0213471134015897
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,simple_icl_country_to_currency,True,,False,0.4090909090909091,81,198,0.4090909090909091,81,198,5.512552280618687,4736.571838748662,0.00021189954902738054,0.017273592386711323
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,simple_icl_country_to_currency,True,,False,0.398989898989899,79,198,0.398989898989899,79,198,5.644945549242424,28981.08729469927,0.00019069651926221696,0.013670158806820126
allenai/OLMo-2-0425-1B,main,simple_icl_country_to_currency,True,,False,0.5202020202020202,103,198,0.5202020202020202,103,198,5.518702651515151,15501.851736722307,0.00016544475225330874,0.01374079343982248
