model,checkpoint,task,success,error,cached,accuracy,correct,total,accuracy_plural_upper_reverse,correct_plural_upper_reverse,total_plural_upper_reverse,mean_loss,mean_perplexity,mean_probability,mean_normalized_probability
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,10.624431818181819,75354.65103976129,6.129654129797199e-11,3.8286968427622544e-05
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,7.97142518939394,7230.024970268738,1.2386057647820593e-08,0.0007225960860403134
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,7.89966856060606,8346.364770795002,7.236273987359252e-09,0.0008863572874520935
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,7.444625946969697,4162.8069527194675,2.3916827221916537e-08,0.001110294655642759
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,7.455279356060606,5877.044521339707,4.7498472073527537e-07,0.0014525928606468317
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,compositional_plural_upper_reverse,True,,False,0.006060606060606061,1,165,0.006060606060606061,1,165,7.367258522727273,4631.1316411054195,1.4747517088118097e-06,0.0013886870830355901
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,7.154190340909091,4270.3172468233815,8.578124641805503e-08,0.0017978096326087066
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,7.389476799242424,5670.434459781916,1.2941744978159032e-06,0.0015936884903533473
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,7.675733901515152,8113.614342583873,1.685875675981001e-08,0.00108655619694955
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,7.370028409090909,6365.987983780122,6.219825592658977e-08,0.0014913943468260146
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,7.481013257575758,6295.642412807181,3.1133983011773444e-08,0.0012464755633154942
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,7.339654356060606,4632.76213408852,6.306894912342913e-08,0.0015552124606659791
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,compositional_plural_upper_reverse,True,,False,0.006060606060606061,1,165,0.006060606060606061,1,165,7.585345643939394,6038.883977987714,8.651642080023289e-08,0.0011719737357869105
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,7.627083333333333,6749.668382905639,2.2859276137785984e-08,0.0010654777012440993
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,7.608001893939394,7041.604582854256,5.319589597039127e-08,0.0010215220301500868
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,compositional_plural_upper_reverse,True,,False,0.006060606060606061,1,165,0.006060606060606061,1,165,7.570667613636363,5967.1304179479,1.2410806326768595e-07,0.0011970710424110734
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,7.555516098484849,6631.372758612891,3.4362740181518605e-07,0.0012312762169016044
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,7.53264678030303,5792.19666400272,2.0052777114072827e-07,0.0012880055410665493
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,7.54955018939394,5631.236566121847,8.086040768402468e-08,0.0011047928923502497
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,7.231036931818182,3712.508676258747,3.19207225999307e-07,0.0014794986988537658
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,7.549029356060606,6821.491551995334,2.1908497061074662e-08,0.0011252315685008367
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,compositional_plural_upper_reverse,True,,False,0.0,0,165,0.0,0,165,7.467447916666667,6728.731755927059,2.1988051724279345e-08,0.001289508720177961
allenai/OLMo-2-0425-1B,main,compositional_plural_upper_reverse,True,,False,0.006060606060606061,1,165,0.006060606060606061,1,165,6.723982007575757,2686.3620250652516,1.4733068794170369e-06,0.0027053175818127426
