model,checkpoint,textfrct_CV2
allenai/OLMo-2-0425-1B,main,5.990771484375
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,7.054150390625
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,6.82763671875
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,6.73798828125
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,6.75751953125
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,6.677490234375
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,6.478369140625
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,7.2205078125
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,6.704736328125
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,6.655810546875
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,6.725537109375
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,11.3451171875
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,6.56259765625
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,6.584326171875
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,6.484423828125
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,6.62705078125
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,6.255810546875
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,6.381005859375
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,6.301416015625
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,6.865576171875
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,6.3630859375
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,6.399658203125
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,6.707275390625
