model,checkpoint,simple_icl_lowercase
allenai/OLMo-2-0425-1B,main,9.022385817307692
allenai/OLMo-2-0425-1B,stage1-step10000-tokens21B,9.428936298076923
allenai/OLMo-2-0425-1B,stage1-step100000-tokens210B,7.721454326923077
allenai/OLMo-2-0425-1B,stage1-step120000-tokens252B,7.739032451923077
allenai/OLMo-2-0425-1B,stage1-step140000-tokens294B,7.177734375
allenai/OLMo-2-0425-1B,stage1-step160000-tokens336B,9.4921875
allenai/OLMo-2-0425-1B,stage1-step180000-tokens378B,8.79912860576923
allenai/OLMo-2-0425-1B,stage1-step20000-tokens42B,9.537710336538462
allenai/OLMo-2-0425-1B,stage1-step220000-tokens462B,7.933293269230769
allenai/OLMo-2-0425-1B,stage1-step240000-tokens504B,8.539813701923077
allenai/OLMo-2-0425-1B,stage1-step260000-tokens546B,7.501802884615385
allenai/OLMo-2-0425-1B,stage1-step300-tokens1B,7.633563701923077
allenai/OLMo-2-0425-1B,stage1-step30000-tokens63B,7.851111778846154
allenai/OLMo-2-0425-1B,stage1-step300000-tokens630B,8.46259014423077
allenai/OLMo-2-0425-1B,stage1-step340000-tokens714B,6.677433894230769
allenai/OLMo-2-0425-1B,stage1-step40000-tokens84B,7.845552884615385
allenai/OLMo-2-0425-1B,stage1-step460000-tokens965B,7.156850961538462
allenai/OLMo-2-0425-1B,stage1-step50000-tokens105B,9.32587139423077
allenai/OLMo-2-0425-1B,stage1-step500000-tokens1049B,7.798828125
allenai/OLMo-2-0425-1B,stage1-step60000-tokens126B,7.452373798076923
allenai/OLMo-2-0425-1B,stage1-step70000-tokens147B,7.603064903846154
allenai/OLMo-2-0425-1B,stage1-step80000-tokens168B,8.75165264423077
allenai/OLMo-2-0425-1B,stage1-step90000-tokens189B,7.884765625
